Seriation_Number	Assemblage	881589-4513968-3	1-0-2	4315391-0-2206046	7615189-0-6811310	7615189-0-9563078	2-3-3	7615189-0-7275111	9057381-0-2	0-1-3338980	7615189-0-2092291	1-0-7158894	0-1-1	1240861-0-4	7615189-0-6819182	9314646-0-2206046	7937917-3-3	3-0-9895268	7615189-8070950-2	7615189-0-8193879	985399-0-2	3-0-1480425	2-4513968-6745780	5078583-4513968-7979611	2-4513968-3	7943172-4-0	8702025-4513968-3	2-9750565-0	3-8462156-2	5078583-4513968-3	2-4-0	2-0-2	3-0-4	3-0-2	6998671-0-2	3855138-0-2	3-315570-2206046	8574910-4-0	7615189-8459788-2092291	2-4513968-964361	5609878-0-2	1872509-0-2206046	7615189-0-2	1815904-0-2	7615189-0-4515941	5513537-0-9563078	3787830-0-2206046	3-0-2206046	5407640-3-3	7615189-0-7397176
82	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
82	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
82	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

83	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
83	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
83	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

84	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
84	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
84	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

85	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
85	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
85	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

86	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
86	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
86	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

87	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
87	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
87	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

88	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
88	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
88	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

89	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
89	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
89	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

90	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
90	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
90	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

91	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
91	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
91	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

92	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
92	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
92	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

93	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
93	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
93	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

94	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
94	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
94	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

95	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
95	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
95	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

96	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
96	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
96	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

97	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
97	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
97	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

98	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
98	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
98	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

99	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
99	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
99	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

100	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
100	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
100	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

101	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
101	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
101	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15

102	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
102	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
102	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

103	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
103	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
103	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

104	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
104	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
104	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

105	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
105	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
105	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

106	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
106	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
106	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8

107	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
107	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
107	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

108	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
108	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
108	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

109	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
109	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
109	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

110	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
110	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
110	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

111	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
111	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
111	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8

112	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
112	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
112	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

113	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
113	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
113	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

114	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
114	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
114	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

115	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
115	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
115	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

116	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
116	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
116	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

117	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
117	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
117	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

118	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
118	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
118	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

119	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
119	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
119	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

120	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
120	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
120	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

121	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
121	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
121	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

122	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
122	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
122	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

123	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
