Seriation_Number	Assemblage	8812894-0-4062411	3760662-455446-5963343	36817-7867145-3297813	1-9500410-3481013	9044187-0-8948892	4-1341187-3	9044187-0-4331407	8046699-1-1181773	654742-1-593398	9044187-1830733-2809312	9044187-0-1241391	9044187-0-6861691	1395390-4090266-1552149	2754489-6965038-6979544	2100031-7745231-6754629	1-1-3000938	9044187-2544060-2809312	4-7745231-6754629	9044187-4090266-2809312	9044187-0-4137552	4-6661180-3297813	8774473-9591038-0	8438828-3-2	9044187-0-6624	8046699-1-2	8328250-3379171-5963343	3644657-3-2	36817-2-3297813	8328250-0-5963343	4612892-0-4137552	1-4096149-9059536	4-4567811-2809312	1-1-2	4-5001330-3297813	3760662-2822364-5963343	9044187-4827202-4062411	349488-3-1743326	4-3-131239	3760662-0-4603800	9044187-0-8500043	171333-1-2	1-4096149-2	930681-0-3709329	4-9901169-2809312	2754489-6965038-2	2236043-8892582-2809312	654742-1-2	930681-2544585-511764	7732720-1-2	9044187-0-9675173	1395390-6806278-9838378	4-3-2	3760662-0-5963343	3196443-3-2	8373736-1-2	4-9542580-3407367	794996-8939109-3000938	7128559-0-4137552	1-1-6018712	4-8129196-3297813	1-8548477-3481013	4-4384730-1309141	3760662-5869541-5963343	1395390-6039382-2809312	794996-2894437-3000938	3760662-0-1529683	4-8733649-2809312	2678785-0-5963343	8328250-7860430-5963343	9044187-0-3709329	1395390-6806278-2809312	484726-2-3297813	9044187-1861665-2809312	4956861-3-2	5734149-4090266-2809312	930681-2544585-3709329	4-9591038-0	4-9901169-2899379	9044187-0-5963343	4-9591038-5312854	9044187-0-9897626	4-0-2809312	4-8489254-3297813	7882656-6965038-2	2036005-0-1241391	9044187-5254176-3709329	9044187-0-5593417	1395390-4090266-2809312	4495965-0-8253194	794996-1-3000938	349488-3-2	9969441-0-5963343	1-1-4556493	4-7745231-1309141	8337208-1-2	8774473-203695-0	3760662-0-3772961	9044187-678499-1241391	2754489-8687294-2	1-6965038-2	4-2-4248562	553150-1-2	4-5911797-3297813	6675124-0-2809312	4-0-0	4-9542580-3	4-7745231-3103063	1-1-3481013	8328250-3379171-1614957	4-2-3297813	6580687-0-0	2945503-4090266-2809312	5570130-0-5963343	9164632-1268228-4137552	9044187-0-2809312	4-7745231-9358524	4-7718379-3297813	9044187-0-4062411	1-9428707-2
3	assemblage-361-530	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	46	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	121	0	0	0	62

4	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
4	assemblage-361-530	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	46	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	121	0	0	0	62
4	assemblage-955-839	0	0	0	0	0	0	0	78	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	41	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	0	0	0	28

5	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
5	assemblage-361-530	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	46	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	121	0	0	0	62
5	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

6	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
6	assemblage-104-700	0	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	39
6	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

7	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
7	assemblage-361-530	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	46	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	121	0	0	0	62
7	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

8	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
8	assemblage-104-700	0	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	39
8	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

9	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
9	assemblage-568-284	9	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	39
9	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

10	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
10	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
10	assemblage-206-863	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	23

11	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
11	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
11	assemblage-104-700	0	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	39

12	assemblage-113-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
12	assemblage-559-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	3	0	0	0	34	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	55	8	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	7	0	0	9	5	0	0	0	83	13	0	0	0	22	11	0	0	44
12	assemblage-568-284	9	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	39

13	assemblage-592-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	14	0	0	4	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
13	assemblage-361-530	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0	0	46	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	121	0	0	0	62
13	assemblage-955-839	0	0	0	0	0	0	0	78	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	41	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	0	0	0	28

14	assemblage-592-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	14	0	0	4	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
14	assemblage-104-700	0	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	16	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	39
14	assemblage-955-839	0	0	0	0	0	0	0	78	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	41	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	0	0	0	28

15	assemblage-592-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	14	0	0	4	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
15	assemblage-568-284	9	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	39
15	assemblage-955-839	0	0	0	0	0	0	0	78	13	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	41	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	8	0	0	0	28

16	assemblage-592-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	14	0	0	4	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
