Seriation_Number	Assemblage	4353157-3-0	6058780-3-9807143	4353157-3-1627954	1-1812687-2	477957-7182575-0	2-7182575-0	838068-7182575-0	7043279-7052234-0	2-4479817-8989449	8408866-7182575-0	1-3-7000599	2-7182575-9952675	7803405-7182575-0	2-7182575-1424812	4-9146784-0	2-7437871-8322557	2-3023103-0	3598890-7182575-0	6043421-3-0	1-2475250-9807143	2-269281-0	2-5991740-8989449	3476977-3-0	3051212-7182575-0	2-7182575-3025916	1-5442227-2	4-7401279-0	1-2-1270547	1481799-3-1	1-3-1	4353157-341586-0	2-3544408-0	976263-3-0	1-37778-1	683392-3-0	4353157-7433285-1627954	2-0-0	2-7437871-0	4-2782733-0	1-3-9807143	3272775-3-1	7043279-3-0	4-7671394-0	2-3998049-0	5208559-3-0	2-3-7688950	4-966991-0	4399521-7182575-0	2-3-0	2-817884-0	2-7182575-6012424	1-2-2	1-7032545-9807143	1-6924453-2	3348241-0-0	5135652-3-0	4-3-0	4-3-220795	4-3-3046944	4251334-3-0
23	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
23	assemblage-631-659	56	0	68	0	0	95	0	0	34	0	0	0	0	23	0	0	0	0	0	0	25	176	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

24	assemblage-540-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	23
24	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
24	assemblage-367-929	120	0	0	0	0	317	5	0	0	0	0	0	0	0	0	0	0	0	6	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5

25	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
25	assemblage-357-616	263	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	83	0	0	0	0	0	0	0	120	0	0	16
25	assemblage-539-268	57	0	62	0	0	79	0	0	41	0	0	0	0	16	0	0	0	0	0	0	29	193	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7

26	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
26	assemblage-346-754	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	52	0	249	44	0	0	0	0	0	0	0	33	0	0	14	0	0	0	0	20	0	0	18
26	assemblage-539-268	57	0	62	0	0	79	0	0	41	0	0	0	0	16	0	0	0	0	0	0	29	193	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7

27	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
27	assemblage-967-994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	351	0	0	0	3	0	0	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
27	assemblage-473-576	15	0	0	0	76	195	0	0	145	0	0	0	20	0	0	0	0	8	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	24

28	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
28	assemblage-967-994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	351	0	0	0	3	0	0	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
28	assemblage-631-659	56	0	68	0	0	95	0	0	34	0	0	0	0	23	0	0	0	0	0	0	25	176	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

29	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
29	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
29	assemblage-539-268	57	0	62	0	0	79	0	0	41	0	0	0	0	16	0	0	0	0	0	0	29	193	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7

30	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
30	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
30	assemblage-473-576	15	0	0	0	76	195	0	0	145	0	0	0	20	0	0	0	0	8	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	24

31	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
31	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
31	assemblage-631-659	56	0	68	0	0	95	0	0	34	0	0	0	0	23	0	0	0	0	0	0	25	176	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

32	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
32	assemblage-118-355	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	234	50	0	0	0	0	0	0	0	32	0	0	19	7	0	0	0	11	0	0	10
32	assemblage-367-929	120	0	0	0	0	317	5	0	0	0	0	0	0	0	0	0	0	0	6	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5

33	assemblage-352-772	0	56	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	7	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	11
33	assemblage-540-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	23
