Assemblage_Name	2-5606452-1903427	2-4983923-407193	2-6052392-0	2-4333655-0	1-2-8218769	4-1-409385	4-1-8924159	1660766-4-9028532	3633677-3-3917728	4-1-5285094	2-6317304-1903427	2-1749306-0	6279858-1749306-0	2-2026617-0	2-4-9028532	2-6822517-897293	2-1749306-1903427	8370749-4-897293	3-3-4	0-4-0	6677368-5449902-0	3-3-4329488	525273-1749306-1903427	2-4-3903059	2-1749306-7805976	0-0-4	2-1428225-0	2-4-8834624	2745199-4-9028532	2-1749306-5375725	1-2-2	8814342-2-0	7426803-1749306-4936441	5835248-4333655-0	2-1749306-5453349	2-2-710	5745781-4-0	4180538-1749306-0	2-4-4250856	2-1749306-4936441	3-3-3917728	2-2-0	5594719-1749306-1903427	2-2220435-0	1663289-1-3	6727036-4-2649262	2-4-4983489	2-4983923-0	2-2-435004	7223194-6569101-2	4787475-4-0	4-1-3	3528593-3-4	2-2709463-0	2-7842330-4936441	6677368-4-0	2-1749306-7881191	3444713-2-0	2-1280858-0	6283759-1749306-1903427	8679530-4-0	2-7843136-4936441	2-4-0	2-4-7611949	2-4333655-6140069	3482050-7843136-4936441	2-4-897293	7700819-2-0	3-4670132-4	2-6570438-4936441	2-7136850-1903427	2-2-3446781	4-8486432-3
assemblage-153-478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	27
assemblage-540-477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	8
assemblage-373-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	6	0	0	14	0	0	86	0	0	0	19	0	0	0	7	0	11
assemblage-665-898	0	0	0	25	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	15
assemblage-128-978	0	0	358	0	0	0	0	13	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	6
assemblage-212-377	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	35	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-631-659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	17	0	0	67	0	0	0	24	0	0	0	19	0	17
assemblage-209-386	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	3	0	0	0	0	0	114	0	0	19	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-284-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	11	0	0	27	0	0	0	54	0	0	13
assemblage-357-512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	44	0	0	0	0	0	308	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
