Assemblage_Name	4-0-1462702	4-9290365-3	4-0-4553705	62523-1-4	4622350-0-3	4-0-1043808	4-130608-3	965348-0-3	3-2982003-4	4-2830363-3	4-0-9164118	4-1235967-3	4-0-3220633	3466705-0-3	3-1-9383716	1998418-0-3	4-896827-3	607774-0-3	4-0-6398919	4-4442762-3	4-0-3461345	4-6104439-3	4-8164008-3	4-0-5747826	4-0-7347342	3-1-3797810	5188901-0-3	9088495-0-3	4-0-3676265	4-0-6473341	2143471-0-3	1615819-0-3	4-847680-3	5859212-0-3	3054019-301986-3	4-0-7026310	4-8830103-3	4-1813218-3	36481-0-3	8903726-0-3	874409-0-3	4609350-0-3	4-0-1758185	7887843-1-4	3-325236-4	961327-0-3	4-0-1138438	4-301986-3	4249149-0-3	381935-0-3	1504081-0-3	3419317-0-3	5650340-1-4	4-0-8614639	4473057-0-3	4-6327241-3	4-301986-4597032	8353894-301986-3	3803383-0-3	4-8518904-3	4-0-4559963	4-0-7069132	4-6880696-3	7152994-6120680-3	3-2212329-4	6105287-0-3	3-1014598-4	4-7297094-3	811570-0-3	3-1-6987000	5294337-0-3	8681306-0-3	4-0-1458788	4-8995205-3	4-3414648-3	4-3162917-3	4-9785084-3	1-0-4	7152994-0-3	4-918042-3	4-301986-3227698	4-0-7251518	4-1232012-3	3-1-9889384	7066313-0-3	4-1614960-3	4-0-7775929	4-2844019-3	4-0-7130333	3-7593730-4	8437350-0-3	3-1-2586968	3-9796858-4	4-1255357-4134499	7987458-0-3	4-301986-972177	4-7537477-3	4-0-4254543	358856-1-4	4-0-8549151	6302428-0-3	4-259605-3	3-3505797-4	4-0-6724545	4-3379258-3	7695704-0-3	4-0-9862609	3-5535798-4	4-3050381-3	8494399-1-4	3-8543943-4	4-1883546-3	4-0-9789911	4-11307-3	4-0-6820229	4-3935002-3	4-5731005-3	4-9871061-3	1611186-0-3	4-911020-3	4-814952-3	312875-0-3	3866746-0-3	6229452-0-3	1582419-0-3	4-2419725-3	2532241-0-3	4-2237363-3	2032415-0-3	3-2623614-4	874979-0-3	3327483-0-3	4-6290004-3	315635-0-3	7233210-0-3	4-0-7577630	4303106-1-4	5251328-0-3	3-1-2017121	8377632-0-3	4-9883421-3	9245425-301986-3	4-0-7551347	4-0-496829	7152994-3854907-3	4-9640098-3	4-0-2618322	4-4145204-3	3823192-0-3	1054725-0-3	4-301986-3121328	61201-0-3	4-1645673-3	7149550-0-3	9070556-301986-3	4-0-5881570	7194542-0-3	2472448-0-3	3-1-8243730	4-0-4943884	4-2363051-3	710426-0-3	4-8930114-3	3359680-0-3	4193338-0-3	4-0-7231689	7358485-301986-3	5817662-0-3	4-5432523-3	7068035-0-3	1812297-0-3	4-8139507-3	3-1-6341012	3572422-0-3	4-1534344-3	4-3030139-3	4-0-1160199	4-8651803-3	4-0-6967067	4-0-669384	4-2847613-3	4-0-4134499	4-0-3	9083727-0-3	2198402-1-4	9843277-0-3	5940238-0-3	4-1962221-3	7891458-301986-3	5810696-0-3	4-0-1995917	4751354-0-3	4-8821464-3	4-5310396-3	4-3091138-3	4-4489635-3	4087369-0-3	4-4403442-3	3969726-0-3	3404377-301986-3	4-9790507-3	4-883645-3	4-8497120-3	4-0-8587430	4-0-3723750	4-0-2069732	7538448-0-3	4-0-7868756	9801606-0-3	4-4-2	5409114-0-3	4-0-5579920	3-1-7129619	4-0-8631765	7534206-0-3	3-1-4	4-0-9432425	2468235-0-3	7152994-0-9876033	4-301986-2345910	3-1-4909730	4675083-0-3	882554-0-3	4-2394263-3	9930560-0-3	4-0-7790670	4-4-4003371	4-0-3805397	4-9653913-3	4-6567786-3	3-5700681-4
assemblage-39-9	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2314	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32204	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7767	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0
assemblage-49-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	137	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
assemblage-87-9	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	2	0	0	0	0	12	0	2	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
assemblage-4-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	21	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	23	23281	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1849	0	0	0	0	0	9494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-84-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	6361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-95-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	23	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	18902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5063	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	2	1	0	28	0	0	12	0	0	0	8	0	0	0	4	0	0	384	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	68	0	0	0	0	121	90308	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	15	0	10	0	1732	0	0	0	0	0	24627	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
assemblage-12-15	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	330	0	0	0	0	0	0	1438	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	78120	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	4	0	0	26	0	0	0	0	0	0	0	8634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	75	0	4	0	0	0	0	0	2	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	35	24035	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2149	0	0	7	0	0	10631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-85-4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	125	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	88317	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-97-15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	35133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	0	0	0	0	6627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
