Assemblage_Name	0-1142788-4	0-3931067-4	0-0-2015361	4249200-0-4	0-0-3872417	0-0-5564641	0-8281700-4	0-4654326-4	6449147-0-4	0-8439576-4	0-0-858395	0-0-8625975	0-9022333-4	3729172-0-4	0-0-4	0-8936843-4	0-9856608-4	2786533-0-4	0-0-3852659	9649498-0-4	0-4595871-4	9858776-0-4	6920549-0-4	0-4529302-4	0-5497035-4	0-0-2300578	0-1350831-4	0-181220-4	0-7440300-4	0-0-4286384	2647000-0-4	6784942-0-4	6400750-0-4	0-3867851-4	9016951-0-4	596142-0-4	0-7103822-4	7425074-0-4	0-0-6602143	0-1458872-4	0-0-409220	0-0-3740264	4442548-0-4	2599371-0-4	0-5413045-4	0-0-1597765	0-452431-4	0-0-1913791	0-4870194-4	0-3907287-4	0-9470382-4	0-0-6681179	7935975-0-4	0-8174681-4	0-8684774-4	1440189-0-4	2018858-0-4	9029845-0-4	0-6103083-4	3734246-0-4	891414-0-4	0-1734715-4	3381230-0-4	6487964-0-4	0-1142036-4	2235093-0-4	0-0-6350926	0-7817089-4	0-4098479-4	1737319-0-4	0-0-5145501
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19695	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
assemblage-21-3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19673	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	41	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38934	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	0	0	1	0	0	0	0	1	4	0	0	19622	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	2
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19643	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	1
assemblage-20-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	0	0	1	1	0	0	1	0	3	0	0	40539	0	2	0	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	1
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
assemblage-19-1	0	1	0	0	9	0	0	0	0	0	0	0	0	0	68881	1	0	0	0	0	15	0	0	1	3	2	0	2	0	0	0	2	0	0	1	2	1	0	1	0	2	0	0	1	0	1	0	0	0	1	0	10	0	0	0	135	15	0	0	0	0	0	1	1	0	0	1	1	0	1	0
assemblage-4-4	37	0	0	0	0	0	0	1	0	0	0	0	0	0	18739	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
