Assemblage_Name	8557924-3-5348156	5311369-3-2	1-3-9180369	6083611-3-2	1-3-6588641	9572250-3-2	1-1097428-5348156	1-4896385-2	1-5479144-5348156	1-9709997-2	1-8704665-2	1-4-1	7461883-3-2	1-3-6226870	3232609-3-2	1-3-4151944	1-1107953-2	1-9108755-2	7280249-3-2	1-1413914-2	6934603-3-2	1-3-380975	1-4973567-2	1-3-6305837	1-3-3936170	1-3-2297282	1-3921573-2	6856185-3-2	1-8009709-2	1-3-2110114	598765-3-2	1-3-9707003	1-3-156534	1-3844992-2	1-3-435981	1-3-8533715	1-413428-2	1-7758342-2	1-3-2201292	3905986-3-2	1-9202597-2	1-3-3110665	1-3-4631824	1312075-3-2	5427383-3-2	4537712-3-2	8417950-3-2	1-3-384821	778742-3-2	1-3-2	1-3-7073785	1-4052012-5348156	1-3-5696028	779107-3-5348156	1-6033068-5348156	2499145-4-1	1-9109446-2	1-8456181-5348156	4386381-3-2	1-5497455-2	8284154-3-5348156	1-1870958-2	1839809-3-5348156	1-3-7181869	8274926-3-5348156	1-2532528-2	1-3-6751992	1-3888360-2	1-8333587-2	1-3-856949	1-9101479-5348156	1-3-4514126	4765104-3-2	1-5518281-2	1-3-892910	1-3424458-5348156	3216881-3-2	1-3-2968467	1-3-9798757	1-4915714-2	1-3-7430690	1-3-5348156	1-7965542-5348156	8254731-3-2	1-3-92649	1-3-7332925	5024522-3-2	1-1103041-2	1-3-395330	1-3624298-2	1-743820-5348156	1-711490-2	973482-3-2	1-3-9614731	1-3332418-1	1-3-5423871	6748823-3-2	7853144-3-2	1-3-6777144	7831562-3-2	1-5221492-2	1-8093201-2	1-6419426-2	1-3-8721441	1-1282233-2	1-1218430-2	1-3-8982629	1718630-3-2	1656449-3-2	1-3-5189069	1-3-4867097	884968-3-2	5244761-3-2	1243508-3-2	973482-3-8299640	1-5315168-2	390584-3-5348156	3650780-3-2	1-3864328-2	1-3-6867420	1-1348388-5348156	1-3-6738150	4638775-3-2	1377109-3-2	5278999-3-2	1-2055023-2	1-3-5700833	1-3-7462615	3701311-3-2	5566933-3-2	1-3-1462236	1-3-4783663	1-3-2530422	5200518-3-2	9322784-3-2	5902743-3-5348156	1-507659-2	1-1287212-2	8843459-3-2	8193282-3-5348156	6066141-3-9180369	1-3-5583499	7578691-3-2	1-6340510-2	5443309-3-2	5868503-3-2
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19247	0	0	0	0	0	0	0	0	0	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	42	0	0	0	0	0	0	0	0
assemblage-21-3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10475	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	0	0	0	92	0	0	0	0	5	0	0	0	0	0	0	9713	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	60	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19151	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	1148	0	0	0	0	5	0	0	1	2809	0	0	0	0	1	0	29	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	25	0	0	1	0	0	0	0	0	0	0	0	34581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	120	0	0	0	0	15	1	118	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
assemblage-6-2	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19062	0	0	0	0	0	0	0	0	0	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	639	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	1
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10786	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46	0	0	0	103	1	0	0	0	3	0	0	0	0	0	0	9494	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	2	0	0	0	0	84	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19096	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-20-1	0	0	1112	0	0	0	0	6	0	0	0	2838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	64	0	0	0	0	39	0	163	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
assemblage-18-4	2	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30028	0	0	0	1	5	0	0	0	0	2	0	0	2	23	2	10	1	0	0	58	0	0	2	0	1	0	0	0	0	0	0	10055	0	11	0	0	0	0	1	0	0	0	0	0	0	0	1	0	12	0	2	5	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	175	8	0	0	0	0	77	4	0	0	0	8	0	0	0	1	0	2	0	2	0	0	0	0	0	1
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23709	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	6487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	18	0	1	0
assemblage-19-1	0	0	1066	0	0	0	0	6	0	0	0	2810	1	2	0	0	0	1	0	2	0	7	2	0	0	0	1	16	0	0	0	7	1	3	0	0	1	35	2	0	0	0	0	0	0	2	0	1	0	59858	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	5012	0	0	0	1	2	54	0	1	0	0	37	1	187	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	32	1	1	0	4	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10	0	4	0	0	0
assemblage-4-4	0	0	595	0	0	0	0	0	0	0	0	2905	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	15678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	0	43	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
