Assemblage_Name	2252106-1-3	3-1-2949588	3371852-1-3	3-6275249-3	8846809-1-3	3-1-8283658	3-1-1514324	3-1-2304148	3-1-9171164	3-1-8736028	8189041-1-3	3-7503270-3	3-9404895-3	80110-1-3	2070443-1-3	3-1-5200410	3-7117123-9895842	3-7040635-3	3-2398026-3	3-6168403-3	3-1-5432168	3-1-8593365	3-1-4526863	3-8413626-3	9145021-1-3	3-1-1426582	3-1-1712146	3-5937002-3	4116129-1-3	3-5615870-3	3-1-4095079	3-1-2813186	3-1-5680619	3-1-9930263	3137592-1-3	1-3-2	3191580-1-3	3-1-7156553	3-6307896-3	3-1-7333935	3-1-8679685	3-1-7570212	3-1-888414	295552-1-3	3-1584199-3	4658508-1-3	3-1-4311788	4285804-1-3	3-1-5178789	3-3897158-3	3-9676269-3	2216778-1-3	2630893-1-3	3-1-1002920	3-1-9169104	3-9169396-3	3-1-295790	3-1-7955716	283335-1-3	3-1-6000495	1008382-1-3	3-5490143-3	3-1-7256601	3-1-7392363	6528495-1-3	3837190-1-3	3-7104031-3	3-3406757-3	3-1-9845986	3-1-6341797	3-1-9895842	3864195-1-3	3-6918520-3	1291863-1-3	1254279-1-3	3-1-6239121	3-2343699-3	3-1-5234708	3-6993446-3	3-4491302-3	8796876-1-3	3-9725272-3	3-1-7074768	8888211-1-3	3-1-8432349	5362618-1-6239121	3-1-7053092	3-1-7000794	3-1-4663698	3-3242668-3	3-7539190-3	1023791-1-3	3-3338328-3	3-1-2811287	3-4798913-3	3-2678148-3	8678247-1-3	3-1-7276190	3-1-9997083	3-6375328-3	1412512-1-3	7497259-1-3	3-1-9649385	3-1888998-3	3-1-5656916	3-1-476580	3-2093429-3	3-1-5134110	3-8695170-3	3-8993909-3	3-2585071-3	3-1-8876554	3-1-3874980	4611115-1-3	4640390-1-3	1796840-1-3	5580503-1-3	3-5817077-3	3-1-1890765	3-5775147-3	3-1-3511276	5540122-1-3	4818741-1-3	3-1-3074098	8431703-1-3	3-6114085-3	3-1-3	3-4454331-3	3-1-8741907	3-1-4768358	3-1-5673522	3-6380761-3	3-4069285-3	3-8060403-3	1250137-1-3	4714862-1-3	6096402-1-3	8444055-1-3	3-1-1639165	3-1939618-3	3-5208411-3	3737236-1-3	3-7966232-3	3-1-224678	3-1-5911084	3-1-6337217	3-1-5584761
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	13	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	19885	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
assemblage-25-4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	134	0	0	0	0	0	0	0	4	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	5	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38280	0	32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	19907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	585	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	21	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	19868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	1	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18360	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	1	0	12	0	0	1	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0	3	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	1	1	0	0	580	0	1	0	134	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	9	1	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	39842	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0
assemblage-16-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2449	0	0	0	0	260	0	0	11	0	0	0	0	0	35	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27156	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	1	0	0	0	0	1	7	605	3	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	4	0	1	68	0	0	0	0	0	0	0	2	0	0	0	3	0	1700	0	0	2	0	283	0	0	2	0	0	1	1	0	27	1	0	170	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	10	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	1	35	0	0	66140	0	29	9	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0
assemblage-4-4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	18211	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
