Assemblage_Name	3-1-6034243	3-1-346802	3-1-1821225	3-1-8377242	3233108-1-3	9723223-1-3	3-3509134-3	3-1-3039738	1630881-1-3	3-1-793644	3-1-338674	3-1-8696949	3-1-5516852	3-1-217692	1066690-1-3	4258392-1-3	9240801-1-3	3-8327221-3	3-1-8358440	3-7291670-3	5689946-1-3	3-7667404-3	7764348-1-3	3-1-3735421	3-4593481-3	3844394-1-3	789037-1-3	3-1-3186972	3-4734389-3	4779333-1-3	4412804-1-3	3-9469930-3	7934453-1-3	3-7566204-3	3-1-7136131	3-6466425-3	3-3995210-3	3-4725833-3	3-7168571-3	3-320518-3	3-1-4295034	3-1-9654905	6142249-1-3	3-1-7215153	3-1-3250284	801982-1-3	2287736-1-3	8713789-1-3	3-2412100-3	3-1-2540533	3-1-5381172	3-2034762-3	4131691-1-3	3-1-4577724	3-3337748-3	3-8736302-3	9740712-1-3	3-1-3169882	1076976-1-3	3-7183716-3	4916667-1-3	3-3586027-3	3-4520652-3	3-9705495-3	3-1-1686793	3-1-832260	3-9578431-3	3-7270276-3	3-1-7409293	3-1-3179194	5109126-1-3	3-1-470025	3-4763320-3	3-1-4968795	4481647-1-3	3-4274799-3	3-4027439-3	3-1-8887963	3596828-1-3	2608456-1-3	78801-1-3	4608285-1-3	3-5722685-3	3-906269-3	1013477-1-3	9418033-1-3	6070096-1-3	3-1-9501399	3-1-858928	5198003-1-3	7921761-1-3	3-1-5133555	3-1-405494	4251285-1-3	7468883-1-3	3-4413605-3	6499185-1-3	3-5471398-3	3-5244295-3	3-1-7591226	3-1-7773258	3-722297-3	3-1-8973604	3-1-4110840	3-1-3	3-4906713-3	3-8266006-3	3-1060479-3	3-1-6581543	3-936746-3	3-6391738-3	6503312-1-3
assemblage-29-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	18757	0	0	0	0	0	0	0
assemblage-27-17	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	62	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	35	19059	0	3	0	0	0	0	0
assemblage-49-6	6	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	1	0	1	13	0	6	0	0	4	0	0	3	0	0	0	0	0	0	0	1	1	1	47	0	1	0	0	0	0	0	370	0	25	0	0	0	0	5	0	0	0	52	8	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	83	17	1	0	0	0	0	1	0	0	0	9	0	0	4	0	0	0	486	114314	0	0	0	0	0	0	0
assemblage-5-7	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	197	46355	0	0	0	0	0	0	0
assemblage-14-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20138	0	0	0	0	0	0	0
assemblage-17-2	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	17861	0	0	0	0	0	0	0
assemblage-48-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	84	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	11240	0	0	0	0	0	0	0
assemblage-28-18	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17860	0	0	0	0	0	0	0
assemblage-14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20073	0	0	0	0	0	0	0
assemblage-30-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	18852	0	0	0	0	0	0	0
assemblage-42-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	11274	0	0	0	0	0	0	0
assemblage-31-11	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20086	2	0	0	0	0	0	0
assemblage-40-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17867	0	0	0	0	0	0	0
