Assemblage_Name	6579476-2-2	3-88784-2	3-2-5152317	3-2-4860711	3-2-2885382	5731099-5969746-2	3-2-231891	8066994-2-2	3-5135949-2	7282299-2-2	7961120-2-2	4796055-2-2	2-3-0	2888248-4-3	3-2-5410351	5851496-4-3	0-4-5376203	7881553-2-2	0-4-884386	3-1444568-2	4323211-2-2	9586206-4-3	0-4-1737602	2-972527-0	0-8833757-3	3-9354622-2	3-2928524-2	0-4-272455	3-2-1183043	3997084-2-2	3-5956471-2	2928961-2-2	3-1603415-2	7840822-2-2	3-9130925-2	5731099-2-3019389	3435785-2-2	1916634-2-2	3-2-4768679	3-5473842-2	3-4264981-2	5731099-2-2	3-6073996-2	3-8306610-2	2089912-2-2	3-2-5992968	3-2-234212	3-4047447-2	2013951-2-2	0-4-3	7493581-4-3	0-4-462556	3-2-6824124	3-8239191-2	0-3295528-3	3-8443906-2	3-2-9138084	3-7494924-2	4417891-2-2	3-2-3127535	0-4-2549309	3-2-926767	3-2-1209511	3975695-2-2	6741699-2-2	3-6519698-2	3-2-6972268	1690921-2-2	3527571-2-2	8847044-2-2	3-2-7880055	0-4-7877386	3-9832157-2	1484915-2-2	3-4146377-2	3-3761522-2	5731099-4697358-2	3118267-2-2	3-2-8468395	6445583-2-2	3-5303654-2	3-2-5488431	3-7948515-2	3-2-5629681	3-2-4438304	2-4121151-0	3-302938-2	5731099-2-5194920	3-6682300-2	8781892-2-2	3-2-9815987	3-2-7437230	5731099-2-3208740	5731099-8786924-2	7371864-2-2	3-5022046-2	1329400-2-2	3-2-6945752	3-691279-2	3-2444202-2	0-1947976-3	3-2-2	4744288-2-2	807414-4-3	7865742-2-2	1821856-4-3	3-9900645-2	3-2-4821311	9506453-2-2	8217517-4-3	3-7196325-2	0-7644052-3	4028206-3-0	3-7051097-2	436720-4-3	3-2-5454186	0-4-8131720	3-2-1924185	5681008-2-2
assemblage-48-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1962	0	0	0	0	0	21	0	6165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-26-10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2288	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-15-17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	17232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2090	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-43-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2230	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2137	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-15	0	0	0	0	0	0	0	0	0	0	0	0	1374	0	0	1	0	0	0	1	0	53	0	1468	41	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	104	0	0	0	0	0	2	0	19155	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-14	0	0	0	0	0	0	0	0	0	0	0	0	1378	1	0	0	0	0	2	0	0	18	0	1245	38	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	85	0	0	0	0	0	3	0	19637	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23658	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-36-13	0	0	0	0	0	0	0	0	0	0	0	0	1285	0	0	0	2	0	2	0	0	30	0	1223	41	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	202	0	0	0	0	0	0	0	20987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22242	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-2	1	0	0	0	0	0	0	0	0	0	0	0	1122	0	0	0	0	0	0	0	0	55	0	1332	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	11	0	19247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-23-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	17140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-45-2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	17221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	13943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2617	0	0	0	0	0	0	0	5593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11029	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-27-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1796	0	0	0	0	0	8	0	5622	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-6	0	0	0	0	0	0	0	0	0	0	0	0	1478	0	0	0	0	0	0	0	0	41	0	1255	68	5	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	10366	0	0	0	0	0	0	0	26426	0	0	0	0	0	0	0	0	0	7	0	0	0	116	5	3	0	0	2	4	0	0	0	0	0	0	8	0	0	0	12	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-5-7	0	0	0	0	0	0	0	0	0	0	0	0	1632	0	0	0	0	0	0	0	0	13	0	1143	58	0	0	7	0	1	0	0	0	0	1	0	1	0	0	0	0	83	0	0	0	0	0	0	0	21341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	21786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3619	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13941	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-48-9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7916	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4076	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13494	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-14-2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
