Assemblage_Name	2-3318142-2	2-9417529-2	0-9813553-2	8664057-2-2	26408-2-2	9355643-2-2	2-2-4899254	0-3-8308357	2-2-9230289	2-2-3232325	2-2-4324633	7994405-3-2	2-8342729-2	0-3-4486522	0-3-2316677	0-3-4964863	2-1017370-2	2-4354322-2	0-3552131-2	9089976-2-2	2-2-403514	4356417-3-2	2-2-9407468	9252910-2-2	2-2-4634118	2-2-6540278	4760024-3-2	0-2987655-2	0-4210670-2	2-2-2593584	1750196-2-2	2-5540859-2	0-180046-2	2-2-7470329	9025598-3-2	0-7434790-2	3010757-3-2	0-3-751065	2-2-42133	2-2-451504	0-3372868-2	2-5193769-2	0-3-2155369	2-2-7074663	2-2-8934679	2-5481829-2	0-3-7818470	1702522-2-2	0-3-2	2-2692218-2	8328763-3-2	5798673-2-2	2-2-2	0-1765321-2	2-2-3398405	0-3-1027698	2-3894217-2	2-2-1612803	8918528-2-2	2-4158503-2	0-891831-2	0-3-168655	7016551-2-2	0-855803-2	2-4249039-2	0-2645913-2	2-5436779-2	4150593-2-2	2-8642505-2	2-2-6526741	0-3-5485429	2-2-3254427	2-1287657-2	0-8154059-2	7474311-2-1244597	2-6418359-2	2-704875-2	9206093-3-2	1508165-2-2	0-3-6775089	2-4261850-2	2-2888573-2	2-6000196-2	2-2-885435	2-2-980498	2-2-6138190	826125-2-2	4727545-3-2	0-9898467-2	2-2-4672434	0-3-1353853	2-5538526-2	9451403-2-2	2-6146216-2	1818735-2-2	0-3-7518628	2-6659250-2	2-2-8681021	4086511-2-2	799587-2-2	4628263-2-2	2-4626678-2	0-3-3325920	2-2-7934570	2-3586281-2	2685244-2-2	2-6470815-2	5525383-3-2	2-2-9460325	1487035-2-2	2-2218334-2	0-3849043-2	2-2-7295190	2-2-5309403	0-3-7603880	0-5933061-2	2-2-6759040	2-2-6797532	0-7789589-2	0-3-3288909	9895411-2-2	2-1471929-2	2-2-1244597	2-8308949-2	2555449-3-2	2-2-5330083	1847850-2-2	2-6860718-2	7241100-2-2	9157961-2-2	5462079-2-2	0-3-4473962	0-1422350-2
assemblage-28-18	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8334	0	0	0	9183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6701	0	0	0	13640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-30-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8888	0	0	0	8815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	0	0	0	0	0	0	0	0
assemblage-42-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3251	0	0	0	7480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-31-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6462	0	0	0	13885	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-40-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8276	0	0	0	9267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8748	0	0	0	8899	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	0	1019	0	0	0	0	0	0	0	0	0	0
assemblage-3-19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	15092	0	0	0	28960	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1683	0	0	0	0	0	0	7	0	0	0
assemblage-24-15	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8509	0	0	0	9014	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
assemblage-47-16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8239	0	0	0	9292	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-38-10	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8494	0	0	0	9043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-5-17	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8359	0	0	3	9157	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8783	0	0	0	8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0
