Assemblage_Name	6583935-2965902-3490406	1127035-3-3	9461646-2965902-7222789	7202620-5898011-3490406	0-7318100-1276271	8453345-4-2561073	1-161756-3	9461646-3719813-1547416	4-711691-1	9461646-2965902-9377157	9461646-9915411-3490406	9461646-7910091-3490406	9461646-4033558-3490406	9461646-4976962-3490406	8989316-0-1	2031145-4-7767227	4-996700-4	3-1-4	5169143-9533851-1	1509161-3-3768642	9461646-2965902-2928602	285109-3624434-3490406	0-7318100-8708783	8419854-0-1	7806035-0-4	9237374-3319576-3490406	4091339-4-3388272	9461646-4976962-8518749	0-9115241-4	9461646-6892459-3490406	0-5279037-1276271	9461646-4976962-1547416	3-3161045-385785	9461646-2965902-3490406	8547641-4-3388272	9221700-2965902-3490406	0-4-4	2472252-2965902-6633884	7202620-9308697-3943681	6465506-9308697-9077580	7309919-0-158527	0-4-9702892	0-4-5005883	0-8256346-4	8419854-697038-1	615744-3-3	4-0-158527	0-1257290-3388272	285109-9308697-3490406	7309919-5788025-158527	615744-3-7207788	9461646-3319576-3490406	0-4-3388272	0-4-8474518	3672710-1457908-3	3850150-2965902-3490406	0-4-7767227	9461646-2965902-2337823	0-6441560-3388272	4-6336173-4	9461646-4483888-9377157	9461646-6535392-3490406	4-2-2	8435673-4-4	285109-9308697-8211541	4-5979155-1	7309919-0-9338939	1509161-3-3	285109-9308697-395951	3672710-8644910-3	9461646-829583-3490406	285109-3432853-3490406	4-4912423-158527	9883538-2965902-703353	7309919-0-2108661	1-2965902-3490406	8776660-2965902-3490406	3672710-3-3	4-1-3	9461646-6279344-3490406	4-0-2830242	1-2965902-647311	4-0-1	4-0-4	7211728-0-158527	1544298-2-2	0-7318100-8998361	0-7318100-4	4-0-722112	0-4-1693296	9461646-184016-3490406	6211570-4-3388272	0-4-4189674	7309919-3805825-158527	9461646-8882761-3490406	4-0-4355517	4-0-5821241	8453345-4-4	7202620-9308697-3490406	4-0-7906209	9461646-2965902-6633884	9461646-2475942-9377157	2134302-2-2	4-0-5133107	9461646-6456796-3490406	0-4-6843677
assemblage-715-624	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-204-897	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	100	0	0	0	0	0	0	32	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	16
assemblage-958-95	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	49	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	49	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-209-537	0	0	0	0	16	14	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	21	66	0	0	0	0	0	0	0	0	0	14	0	0	49	0	0	0	0	0	0	0	0	24	28	0	0	0	0	19	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	25	0	0	0	12	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	18
assemblage-110-705	11	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	29	0	0	0	213	6	0	12	0	0	0	49	0	0	0	0	0	27	0	0	0	0	0	60	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-805-544	0	0	0	14	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	148	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	26
assemblage-96-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	12	0	0	7	0	0	0	0	0	0	0	0	0	0	36	0	0	24	176	0	14
assemblage-592-299	0	0	0	8	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	0	37	0	0	15	77	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	18
assemblage-482-340	13	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	30	0	0	0	219	4	0	26	0	0	0	52	0	0	0	0	0	22	0	0	0	0	0	54	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-438-465	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-809-547	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	152	0	0	0	237	0	0	0	0	0	0	0	25	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	26
