Seriation_Number	Assemblage	0-4474100-672762	0-4368169-2	0-2-4879577	0-5044537-672762	1-2104078-0	4657596-1-4416243	7086496-2104078-7196400	1611389-8175911-0	3-7872009-555177	1611389-5042352-7036715	1611389-8121329-7036715	1611389-6057028-0	208094-2104078-0	911775-1-4	2595751-2104078-0	6156290-2-2	7647450-2-2	3860361-1-9144974	7504084-9473803-4879577	1611389-4838428-0	7805722-2-2	3-7872009-4	5929802-609178-4881353	3933815-0-0	0-3439552-2	7423614-2-5236956	1-5127373-0	0-2-4024919	1611389-2104078-2159813	7423614-2-2	3860361-1-5924462	1611389-8168928-0	1-2104078-1115157	1-2-0	3455756-609178-2987195	1611389-8739812-0	6612971-2-8339083	6612971-2238207-2	5929802-609178-882008	6612971-8350744-2	198580-2104078-0	4579966-2-2	1-2104078-4379945	0-7613492-2	1611389-2104078-7196400	0-4474100-911458	2-2-2	3860361-1-3165115	3860361-1-7019667	0-9906468-2	5929802-3730145-882008	0-7883121-2	0-2-2	1-4755279-0	1-9640355-0	0-9473803-4879577	4-2-2	8542170-609178-3	8542170-609178-4881353	0-2-6394737	3-4-3	0-2456051-2	4352848-609178-3	1-5443363-0	7423614-3226426-2	1-0-0	0-5372063-2	1611389-5042352-0	0-2-3162151	1-4904040-2987195	4333501-2-7900002	1-609178-3	0-2-8327992	1611389-2104078-0	0-7267052-2	1611389-5265751-0	4-2-7900002	3916730-2104078-0	3692946-1-4	1-609178-2987195	1-2088359-0	3860361-1-4	6612971-2-2	3816669-2-7900002	3860361-1-5790433	4-1834746-2	1-8531153-2987195	2194985-2104078-0
6	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
6	assemblage-403-489	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	20	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	215	0	0	0	6	0	19
6	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

7	assemblage-401-498	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	9	37	0	0	0	0	0	0	4	0	67	0	0	0	0	0	29	0	0	0	0	7	0	0	13	0	51	50	0	0	0	0	44
7	assemblage-478-448	12	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	29	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	0	0	71	0	0	93	0	0	0	0	25
7	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

8	assemblage-401-498	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	9	37	0	0	0	0	0	0	4	0	67	0	0	0	0	0	29	0	0	0	0	7	0	0	13	0	51	50	0	0	0	0	44
8	assemblage-683-732	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	29	0	0	0	0	0	0	0	0	0	28	0	140	0	0	0	0	16	12	0	0	0	0	0	0	0	0	59	0	0	0	0	15
8	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

9	assemblage-401-498	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	9	37	0	0	0	0	0	0	4	0	67	0	0	0	0	0	29	0	0	0	0	7	0	0	13	0	51	50	0	0	0	0	44
9	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
9	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

10	assemblage-456-475	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	34	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	65	0	0	0	0	0	0	0	64	0	0	107	0	0	0	0	19
10	assemblage-478-448	12	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	29	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	0	0	71	0	0	93	0	0	0	0	25
10	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

11	assemblage-456-475	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	34	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	65	0	0	0	0	0	0	0	64	0	0	107	0	0	0	0	19
11	assemblage-403-489	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	20	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	215	0	0	0	6	0	19
11	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

12	assemblage-456-475	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	34	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	65	0	0	0	0	0	0	0	64	0	0	107	0	0	0	0	19
12	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
12	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

13	assemblage-456-475	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	34	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	65	0	0	0	0	0	0	0	64	0	0	107	0	0	0	0	19
13	assemblage-401-498	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	9	37	0	0	0	0	0	0	4	0	67	0	0	0	0	0	29	0	0	0	0	7	0	0	13	0	51	50	0	0	0	0	44
13	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

14	assemblage-456-475	10	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	34	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	65	0	0	0	0	0	0	0	64	0	0	107	0	0	0	0	19
14	assemblage-401-498	0	0	16	0	42	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	9	37	0	0	0	0	0	0	4	0	67	0	0	0	0	0	29	0	0	0	0	7	0	0	13	0	51	50	0	0	0	0	44
14	assemblage-403-489	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	20	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	215	0	0	0	6	0	19

15	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
15	assemblage-478-448	12	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	29	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	0	0	71	0	0	93	0	0	0	0	25
15	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

16	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
16	assemblage-478-448	12	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	29	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	0	0	71	0	0	93	0	0	0	0	25
16	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

17	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
17	assemblage-403-489	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	20	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	215	0	0	0	6	0	19
17	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

18	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
18	assemblage-683-732	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	29	0	0	0	0	0	0	0	0	0	28	0	140	0	0	0	0	16	12	0	0	0	0	0	0	0	0	59	0	0	0	0	15
18	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

19	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
19	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
19	assemblage-572-187	0	0	0	0	0	0	0	0	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	265	0	0	0	0	0	0	0	0	55	0	0	0	0	11

20	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
20	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
20	assemblage-820-776	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17

21	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
21	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
21	assemblage-478-448	12	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	29	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	0	0	71	0	0	93	0	0	0	0	25

22	assemblage-895-362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13
22	assemblage-542-771	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	171	0	0	0	0	0	0	69	0	0	45	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	28
22	assemblage-403-489	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	20	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	215	0	0	0	6	0	19

