Assemblage_Name	5838033-2709791-4	2596541-8598159-9850740	9840014-8598159-1395200	8953974-3836946-4222314	2813526-3836946-7505784	2813526-5143514-1416198	9742557-5603266-4934765	4881184-3836946-1416198	8925705-3557890-7074238	924575-3875047-9044288	8140156-8598159-5251603	9942902-3921547-7074238	3-907823-5300525	4970057-5964340-1474096	9840014-8598159-5251603	4970057-2709791-349312	4970057-609183-4	924575-1977641-9044288	2475681-5696523-999554	9904682-7360349-3015783	6300231-8719014-5512143	2401519-2090163-7074238	142161-8870173-398728	7671816-1178888-9364908	1-2-2730246	924575-907823-7268147	8435244-6089375-4	9942902-5857896-4451543	872390-3557890-3992373	813113-3-4931218	3-3-2	3-272259-7458945	2813526-779837-6559919	1755194-6871867-1689115	4410071-8598159-3959988	7671879-7558048-2	7671879-3-2	9903573-6197489-7074238	3450701-2709791-4	7742535-2709791-4	7054063-38839-8795265	7730637-7803829-5301118	675416-7211712-999554	1412986-8870173-3259154	8667911-2709791-4	570768-3-2	648143-2709791-668961	7598402-38839-5301118	3746942-6871867-1689115	1252728-2408008-4099788	9942902-6450936-7074238	4970057-1067286-1156047	2813526-2991378-4	9942902-5857896-7074238	6300231-5015818-5512143	9742557-954484-4934765	2813526-2752948-9630382	4970057-5964340-1952851	6897305-38839-5301118	146525-907823-341037	9904682-2503446-4036694	1755194-612342-4	3373393-3465422-999554	1755194-612342-2150940	3864171-3335662-5251603	1755194-5964340-3750246	9742557-952392-4934765	813113-2625975-9563336	4970057-5325030-4	5618424-6089375-4	3-3836946-4	3748996-2090163-5301118	2813526-3836946-6559919	1-2-8861175	5265009-8598159-7512552	8140156-7843718-4703114	2813526-8870173-4874319	813113-8598159-5251603	2813526-8870173-6559919	2674957-4451239-8795265	2813526-4415784-4	6809248-3124495-1764287	4970057-2709791-356344	142161-8870173-3259154	1911263-38839-5301118	4562440-470561-4099788	648143-6398681-1954135	7082922-3836946-966895	7671879-3-2690503	648143-4715554-9364908	2634407-3885963-9044288	1093004-2090163-7074238	5315579-5964340-4	1346178-6089375-4	6809248-2-1764287	8140156-3092911-4703114	5658572-7758707-7074238	5618424-2709791-4	648143-3244340-9364908	3679849-9507496-1307052	872390-8957931-7074238	813113-3616965-8793485	648143-2709791-9472078	924575-907823-4775427	675416-3465422-999554	6897305-38839-4366594	6613558-9958199-1954135	1093004-2090163-8378789	2203476-3960447-7458945	3-1271918-9827592	924575-4857949-9547810	2813526-1559288-6559919	8330650-4120550-4155032	9904682-524182-9622247	9843376-5547223-4147330	4534007-3-7458945	9942902-4327631-7074238	4760370-2-6143106	924575-3885963-9044288	813113-9038627-5251603	4881184-3836946-8883714	7370207-524182-3015783	9942902-6197489-7357944	4270038-5684617-7244245	7090000-1-4	813113-3-2	167776-3836946-4	5141501-7267315-5251603	648143-1591959-9364908	8833878-8598159-5251603	6897305-4147317-5301118	924575-3069618-9044288	3990395-3836946-5618302	813113-8598159-2446640	8043503-3836946-7505784	924575-907823-2217505	3-3-7458945	813113-2639972-7512552	1755194-6871867-4	9840014-8598159-9857249	3-6101086-2	3-1271918-2	6279296-3557890-7074238	2813526-225136-4	2334101-8598159-7512552	5795273-6376468-4	4410071-8598159-772959	8782341-5603266-999554	8140156-3092911-11817	4800404-7267315-5251603	4760370-2-5929238	4430436-6197489-8019431	1514298-7414284-3259154	4849280-8598159-5251603	1672143-3170877-5929238	2401519-6200584-7074238	9742557-5603266-3942888	7377755-3836946-4	872390-7758707-7099254	6859658-2043379-7458945	648143-3658970-9364908	2254931-2-2	4970057-5909508-4	5986693-1789274-5301118	2813526-3836946-4	813113-3616965-7512552	1675389-2090163-5301118	4410071-8598159-9188391	2203476-2043379-2308355	2401519-3562341-7074238	9904682-907823-4187275	215839-3-999554	4760370-2863542-5929238	675416-2876452-6374588	3515332-2709791-4	7370207-2696838-3015783	2091756-8598159-5251603	2209359-38839-5301118	6601347-6200584-7074238	648143-5772414-9472078	8140156-4418435-2245687	7671879-774126-2	6279296-4120550-4155032	2203476-2043379-7458945	4410071-8598159-5063302	7651483-9958199-1954135	813113-7586241-343500	4410071-8946270-5251603	5285870-6197489-8496636	7598402-4266512-8795265	7088704-3-2	6809248-8759572-1764287	8140156-7267315-5251603	7598402-38839-8795265	813113-2639972-8678337	7984120-2709791-4	9942902-6197489-8019431	5758266-5964340-4	9942902-6197489-5313625	9433373-3-343500	9840014-8598159-3590150	675416-5603266-3942888	443354-2043379-9724956	1807831-38839-9119474	6897305-38839-2928310	3242957-813198-7169518	5846926-8598159-3217325	924575-4921116-7169518	2412339-3616965-7074238	1286004-215908-5251603	813113-3-343500	4139013-8759572-1764287	8399436-7211712-999554	8435244-2299117-4	1093004-2090163-3067149	8182537-3836946-1416198	142161-3442937-398728	859449-3836946-2468050	648143-8073345-9472078	4920171-7113787-7074238	6699169-4645765-8183626	6005225-38839-8795265	7961231-2709791-4	924575-907823-8545772	7101000-4695899-3015783	872390-3046767-7074238	3062784-3-343500	4970057-163485-1156047	9742557-5898712-4934765	6107277-4303464-7512552	4760370-847164-2153895	3-1-4	675416-2876452-7147427	3990395-3836946-5875189	1755194-612342-6147793	1807831-2356370-5301118	2813526-1418260-4222314	3114440-3092911-9141091	813113-9992941-7512552	4760370-7572877-8078650	7306714-907823-9044288	1807831-2090163-5301118	648143-2709791-9364908	813113-2775578-5197116	813113-3-5197116	1577487-772298-1416198	5099141-2863542-5929238	7803160-2408008-4099788	7651483-9958199-3112098	872390-7758707-7074238	9904682-907823-3015783	9363808-779837-6559919	6791537-3836946-4	9592677-3836946-1416198	3-5947172-2	814956-2090163-5301118	1755194-5964340-4	839912-1559288-6559919	1807831-38839-5301118	1672143-2863542-5929238	3-860194-7458945	394995-4120550-9652411	648143-9958199-1954135	2674957-38839-8795265	2813526-3836946-1416198	1093004-2189679-5301118	4970057-5964340-9771966	2813526-3124469-6559919	1-2-2883557	1093004-4766764-5301118	6210825-3960447-7458945	9904682-524182-4099788	8140156-8598159-9850740	7980803-3-2	4760370-847164-4401632	7980803-8503548-2	3990395-3836946-4850713	716940-8482601-791690	2813526-3836946-3443056	9220011-3658970-9364908	4970057-2709791-4	5926246-2043379-9724956	6897305-7803829-5301118	6180229-2709791-9364908	7835640-907823-9044288	5447718-5649013-999554	648143-7458606-1954135	556282-524182-3425187	4970057-5964340-4	8813289-8598159-5251603	2813526-5182677-4	924575-1977641-7169518	3990395-5061998-1319830	813113-4303464-9563336	1093004-2090163-5301118	6897305-38839-7102017	924575-5684617-7169518	2813526-8870173-3259154	3515332-9866813-4	675416-9297170-999554	2813526-3124469-7012347	3-907823-9044288	3864171-8598159-5251603	675416-4315021-999554	2813526-3836946-4222314	648143-2709791-2419650	813113-2613813-343500	1718536-3836946-1416198	7671879-3-3190795	836112-1977641-9044288	604692-7843718-4703114	8087411-2709791-4	1-2-1346258	2475681-3-999554	8043503-3836946-5143119	4970057-2709791-9863526	1286004-3746309-5251603	5889069-9958199-3681220	675416-3-999554	7286949-3557890-7074238	813113-8598159-7512552	9209534-907823-9044288	9942902-6197489-7074238	2813526-3699850-4	5618424-6089375-352330	4760370-2-2	4970057-1067286-4147330	648143-3658970-2837399	648143-4715554-7773993	648143-2709791-621054	8140156-7267315-3811774	1577487-3836946-1416198	4272437-612342-4	813113-9152561-343500	2813526-8276495-6559919	4954268-6200584-7074238	813113-5246723-9563336	6809248-8759572-4863935	1271348-4303464-1326851	9904682-1280657-4187275	394995-4120550-7074238	9904682-524182-3015783	9942902-5321050-7074238	5315579-9863762-4	4970057-5909635-4	4970057-3118603-4	813113-3-1767416	5285870-6197489-7074238	8330650-2895833-4155032	9840014-3842225-5251603	4970057-2709791-9771073	1592693-3836946-4	9533239-4618433-343500	8395843-6197489-9700530	675416-5603266-3079289	675416-5603266-2019136	813113-9928565-5122002	924575-813198-7169518	5889069-9958199-9038701	9651467-9152561-343500	4486077-8598159-5251603	6316450-5603266-3942888	4970057-2709791-1437277	1113410-5828343-1233451	1093004-7090017-3067149	1755194-2603547-4	9942902-3557890-7074238	813113-3616965-5197116	3436160-5603266-999554	9904682-719804-3015783	3990395-3836946-4	675416-2733618-9578205	1093004-2090163-8656573	3-7196232-9044288	675416-5603266-999554	675416-3-1332822	675416-7211712-6374588	3173326-5964340-4	6927379-9958199-3112098	9904682-2587351-4036694	4970057-4440652-2648740	180915-8598159-5251603	924575-907823-9044288	1755194-4969955-4	167776-8839107-4	4410071-8598159-3874590	675416-5603266-734539	1755194-4645765-8183626	8140156-1447446-5251603	924575-907823-6754301	872390-3557890-7074238	9742557-5371721-4934765	4205926-8598159-5251603	8140156-562248-3530943	7961231-4231944-3623274	813113-6525452-5122002	1113410-524182-3015783	4970057-2709791-4355191	924575-1977641-4371393	2813526-1559288-9434446	1705590-3046767-1306031	648143-2709791-6313338	3997689-2863542-5929238	2512149-7211712-999554	215839-4931672-999554	1807831-7544016-5301118	5569970-3836946-1416198	6265513-8870173-3259154	7671879-3-9136832	6897305-38839-6474455	8140156-3092911-3811774	5447718-8647196-999554	4410071-8598159-5251603	6859658-3-7458945	7286201-3-7458945	9942902-1002639-7074238	813113-9831256-5197116	6279296-4120550-7074238	1910696-4303464-7512552	3811-4766764-5187345	813113-4303464-7512552	9312169-2709791-4	1520444-6398681-1954135	924575-7594684-9044288	4970057-5547223-4147330	8140156-8598159-1328536	924575-3885963-5100582
assemblage-149-602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
assemblage-817-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103
assemblage-820-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
assemblage-954-236	0	0	0	0	14	0	0	80	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	107
assemblage-120-543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	33	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
assemblage-483-975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	5	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	37	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	41	0	0	11	0	0	0	0	0	0	0	0	0	0	211
assemblage-255-708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	9	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0	124
assemblage-810-490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	25	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	131
assemblage-161-608	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
assemblage-390-610	0	0	0	0	0	0	21	0	0	0	0	0	0	11	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	113
