Seriation_Number	Assemblage	3943480-4463606-1	4-9725597-3	8889474-3-8203494	1-3-833959	8889474-4463606-1	8889474-3-696595	0-3-4413425	4-1-4	7080308-1251099-3	8889474-785109-1	5657811-3-4413425	1184030-2168198-1	1-8315262-833959	8889474-3-1	2348-3-126047	7451826-3-1	8889474-3-8092516	3523591-1251099-966503	607256-3-4413425	8889474-7607093-1	1184030-8476225-1	2348-5181985-9441481	4-7874022-2478095	4359348-3-1	2142139-3-1	1-5019935-833959	1184030-3-1	1-3-3	2348-5557556-9441481	4-5294151-3	4-1251099-3	2348-5377707-1	5554068-1251099-3	4-7515151-3	4-5897464-3	1184030-3-2807910	4-4-1	4-4-3	4-7874022-3	4-2-3	1-3-7579918	8889474-8400304-1	5959929-1251099-3	3509396-1251099-3	2975843-1251099-3	2975843-1251099-3406929	3273832-7318585-9441481	2348-3-1	2348-3-9441481	3-4-4	4-1466884-3	3-3-1	4-1251099-966503	7591531-3-1	6512905-1251099-3
32	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
32	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16

33	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
33	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
33	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

34	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
34	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
34	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

35	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
35	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
35	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16

36	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
36	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
36	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

37	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
37	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
37	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16

38	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
38	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
38	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10

39	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
39	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6
39	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

40	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
40	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
40	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

41	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
41	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
41	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

42	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
42	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
42	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

43	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
43	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
43	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

44	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
44	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
44	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

45	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
45	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
45	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

46	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
46	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
46	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

47	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
47	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
47	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

48	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
48	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
48	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

49	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
49	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
49	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1

50	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
50	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
50	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

51	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
51	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
51	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7

52	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
52	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
52	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1

53	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
53	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
53	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

54	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
54	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
54	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

55	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
55	assemblage-552-274	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	15	74	0	269	11	0	0	0	0	0	16
55	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1

56	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
56	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
56	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

57	assemblage-161-461	0	0	0	0	0	0	417	0	0	0	13	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
57	assemblage-215-380	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	416	0	0	0	0	31	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	9
57	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1

58	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
58	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
58	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

59	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
59	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
59	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

60	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
60	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
60	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

61	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
61	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
61	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16

62	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
62	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
62	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

63	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
63	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
63	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

64	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
64	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
64	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

65	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
65	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
65	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26

66	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
66	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
66	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16

67	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
67	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
67	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7

68	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
68	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
68	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12

69	assemblage-150-694	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	37	0	0	10
