Assemblage_Name	3-7810573-0	1-1-0	2-2-3	3-9531340-3625667	3-9084376-0	3-3-0	3-3-3	3-3-3625667	4096907-4-4	3-3-1296770	3-1888019-3625667	3788775-3-3625667	3-3-2342531	3788775-4902816-3625667	3788775-1153711-3625667	3-6050581-3625667	3-3-6728259	2-4-300594	3-4228692-0	3-3-6223138	3-3274752-309094	2451618-3-0	3-6315639-3625667	7050812-3-0	8045419-4-2553709	3-3-4559521	3-3-7129088	3-443506-0	2-4-4	2-0-2	3208926-4-2553709	3-6336749-3625667	2-7339799-4	3-3-866702	5295387-7339799-4	3-3-5230840	1-4-4	2-4-6728956	2-4-2553709	4914601-3-0	3-3-6644849	3-3-5370535	3-4801773-0	3-2903230-3625667	3-3-2597035	3-3274752-3625667	9855154-3-0	3-467807-0
assemblage-709-796	0	0	0	0	0	191	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	12
assemblage-360-495	0	0	0	0	0	76	0	353	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-567-918	0	0	0	44	0	158	0	118	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	56	77	0	3
assemblage-788-130	0	0	0	0	0	107	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	23	0	0	18
assemblage-570-928	0	0	0	11	3	311	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	19
assemblage-158-804	0	0	0	0	0	47	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-611-196	0	0	0	0	0	244	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	13	0	0	0	0	0	95	0	0	0	0	0	0	0	0	12
assemblage-700-370	0	0	0	0	0	69	0	304	0	0	71	31	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-918-571	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	29	0	0	0	0	0	70	0	147	0	0	0	0	0	0	0	0	3
assemblage-496-351	0	0	0	0	0	348	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	10	0	0	0	0	0	63	0	0	0	0	0	0	0	10	7
assemblage-905-591	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	37	0	0	0	0	0	50	0	156	0	0	0	0	0	0	0	0	5
assemblage-1007-690	0	0	0	0	0	409	0	17	0	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	7	0	0	1
assemblage-1011-672	0	0	0	0	0	366	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	13
assemblage-617-770	0	0	0	32	0	153	0	250	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	6
assemblage-484-504	0	76	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10
assemblage-481-503	0	0	0	0	0	49	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	57	3	0	0	0	0	80	0	0	0	0	0	0	0	0	13
assemblage-494-346	0	0	0	0	0	182	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	42	5	0	0	0	0	0	0	37	14
assemblage-602-207	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	9	0	0	0	0	0	46	0	0	0	0	0	0	0	0	3
assemblage-346-506	0	0	0	0	0	55	0	362	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-982-160	0	0	0	0	0	83	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	66	0	0	0	0	0	148	0	0	0	0	0	0	0	0	13
assemblage-486-523	0	0	0	0	0	45	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	39	9	0	0	0	0	76	0	0	0	0	0	0	0	0	10
assemblage-695-371	0	0	0	0	0	78	0	279	0	0	74	37	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-276-404	0	0	0	0	0	243	0	12	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	7	185	0	0	0	0	0	0	0	0	11
assemblage-255-408	0	0	0	0	0	217	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	11
assemblage-262-403	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	17	0	0	0	0	0	31	0	0	0	0	0	0	0	0	1
assemblage-909-855	0	0	0	0	0	393	13	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-566-940	0	0	0	87	0	72	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	9	0	9
assemblage-709-784	0	0	0	0	0	231	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	10	200	0	0	0	0	0	0	0	0	10
assemblage-715-796	0	0	0	0	0	105	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	82	0	0	0	0	0	127	0	0	0	0	0	0	0	0	14
assemblage-959-890	0	0	0	0	0	77	0	281	0	0	72	33	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-975-843	0	0	0	0	0	345	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	10	0	0	0	0	0	56	0	0	0	0	0	0	0	13	8
assemblage-109-93	0	0	0	8	0	321	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	20
assemblage-843-271	0	0	0	50	0	154	0	98	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	71	65	0	12
assemblage-481-510	0	0	0	0	0	199	0	191	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	56	10	0	0	0	0	0	0	22	14
assemblage-788-124	5	0	0	0	0	359	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-481-514	0	77	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
assemblage-481-517	0	0	0	0	0	358	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	15
assemblage-995-168	0	0	0	0	0	206	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	12
assemblage-105-114	0	0	0	6	0	309	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	26
assemblage-267-419	0	0	0	0	0	234	0	15	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	10	194	0	0	0	0	0	0	0	0	4
assemblage-589-914	0	0	0	39	0	185	0	111	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	59	54	0	2
assemblage-1000-672	0	0	0	0	0	395	0	12	0	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	8	0	0	2
assemblage-793-122	19	0	0	0	0	358	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-895-603	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	32	0	0	0	0	0	64	0	157	0	0	0	0	0	0	0	0	2
assemblage-713-782	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	0	0	0	0	0	40	0	0	0	0	0	0	0	0	9
assemblage-173-741	0	0	0	0	0	407	0	7	0	0	17	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	13	0	0	2
assemblage-491-497	0	88	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7
assemblage-269-411	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	33	0	0	0	0	0	0	0	0	9
assemblage-154-804	0	0	0	0	0	47	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-477-540	0	0	0	0	0	379	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	16
assemblage-608-784	0	0	0	0	0	421	0	11	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	6	0	0	6
assemblage-481-520	0	0	0	0	0	53	0	247	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	59	0	0	0	53	0	0	0	0	0	67	0	0	0	0	0	0	0	0	16
assemblage-507-342	0	0	0	0	0	110	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	18	72	0	12	0	0	0	16	0	0	0	0	0	0	0	0	12
assemblage-782-144	0	0	0	0	0	53	0	368	0	0	3	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-983-854	0	0	0	0	0	43	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	42	0	0	0	0	0	72	0	0	0	0	0	0	0	0	19
assemblage-913-562	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	35	0	0	0	0	0	67	0	142	0	0	0	0	0	0	0	0	7
assemblage-492-530	0	0	0	0	0	419	0	10	0	0	14	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	3	0	0	4
assemblage-979-166	0	0	0	0	0	107	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	70	0	0	0	0	0	117	0	0	0	0	0	0	0	0	6
assemblage-1015-682	0	0	0	0	0	368	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	10
assemblage-791-131	0	0	0	0	0	77	0	283	0	0	76	33	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-968-161	0	0	0	0	0	95	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	83	0	0	0	0	0	133	0	0	0	0	0	0	0	0	6
assemblage-962-960	0	0	0	0	0	210	0	173	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	39	11	0	0	0	0	0	0	43	8
assemblage-475-348	0	0	0	0	0	108	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	11	89	0	10	0	0	0	11	0	0	0	0	0	0	0	0	9
assemblage-597-196	0	0	0	0	0	108	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	59	0	0	0	0	0	145	0	0	0	0	0	0	0	0	9
assemblage-789-134	0	0	0	0	0	115	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	30	0	0	8
assemblage-175-734	0	0	0	0	0	125	0	175	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	173	0	0	3
assemblage-971-894	0	0	0	0	0	135	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	28	0	0	24
assemblage-159-732	0	0	0	4	0	254	0	130	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	63	0	0	18
assemblage-853-282	0	0	0	134	0	93	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	221	0	9
assemblage-152-802	0	0	0	0	0	47	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-178-748	0	0	0	0	0	123	0	141	0	0	10	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	198	0	0	4
assemblage-482-319	0	0	0	0	0	55	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	48	5	0	0	0	0	76	0	0	0	0	0	0	0	0	11
assemblage-261-408	0	0	0	0	0	88	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	80	0	0	0	0	0	132	0	0	0	0	0	0	0	0	12
assemblage-688-790	0	0	0	0	0	186	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16
assemblage-934-958	0	0	0	0	0	185	0	204	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	15	0	0	0	0	0	0	21	17
assemblage-582-927	0	0	0	62	0	153	0	106	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	51	73	0	7
assemblage-95-114	0	0	0	158	0	103	0	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	194	0	4
assemblage-601-777	0	0	0	0	0	129	0	167	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	174	0	0	6
assemblage-961-912	8	0	0	0	0	377	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-605-143	0	0	0	69	0	87	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	14	0	11
assemblage-909-570	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	28	0	0	0	0	0	67	0	162	0	0	0	0	0	0	0	0	7
assemblage-897-580	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	40	0	0	0	0	0	64	0	147	0	0	0	0	0	0	0	0	4
assemblage-981-906	0	0	0	0	0	67	0	351	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
