Assemblage_Name	2985196-3399782-2	2985196-3399782-6547093	2-4-9902225	4-3926461-5302837	2985196-3399782-3277457	3637265-4-2	2985196-1395740-6632490	2985196-6884063-6635994	3995080-9466820-846309	5774361-4-0	4-4-846309	1834800-3399782-2	8593898-4-846309	4-1618732-2	2100091-4-846309	1216243-9672862-846309	4-3334887-8930987	2985196-3399782-2022549	4-6931196-9252193	4-4-7547255	2985196-3399782-7714743	490806-9466820-846309	4869641-4-846309	4-6869822-846309	4-4-4087774	2985196-8862709-6632490	4-7471530-4305770	1341369-3334887-2418576	4-5349633-846309	2985196-9971125-2	1341369-8802731-6023578	4-3399782-2	3-3-2	2100091-9672862-846309	4-1549628-2	2100091-4789288-846309	1341369-3334887-6682835	4652528-4-846309	2985196-3399782-3646175	0-0-2	2985196-3399782-192522	2648949-4-2	2985196-3399782-6632490	9000387-6931196-2	4842940-3457856-846309	9248059-4-3974421	4-3334887-6531211	4-6931196-2	2985196-3399782-7088289	2589852-4-2	5774361-2832070-0	4-6931196-1495239	6326812-4-0	4-7841078-846309	4-9064002-2	4-4431020-846309	9248059-4-4305770	4-4-2573420	4-4-5787879	4-3926461-846309	6258677-9470626-846309	4-4-2626037	1341369-3334887-6023578	4842940-9672862-846309	2100091-4-6466645	4-3334887-6023578	2985196-3399782-335169	4-3399782-4660726	4-2035583-846309	2985196-3399782-6635994	8593898-831777-846309	490806-4-846309	6905715-4531181-846309	7678006-4-2573420	2985196-3399782-57284	4-4-5583671	8930332-4-2	9274452-4-3	7348773-3-1	4-3334887-718026	6852543-4-846309	4-4-4305770	2985196-3399782-5293199	4-6931196-3684293	4-1-2	4-1054275-846309	4-800157-2	4166-3926461-846309	2985196-3399782-2503692	4-5966842-2	2100091-4531181-846309	4-35833-2	4-6931196-8819782	800435-6931196-2	4-4202262-846309	4-4-0	4-4-3	4-4-2	4-1281357-846309	4-1485667-2	4-6931196-4279212	4-9470626-846309	2161003-4-4305770	1911545-6931196-2
assemblage-267-419	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	17	5	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	11
assemblage-589-914	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	25
assemblage-1000-672	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	20	0	0	0	0	0	23
assemblage-793-122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	114	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	8	0	0	15	0	0	0	37	0	32
assemblage-895-603	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	76	0	0	0	0	0	13
assemblage-713-782	0	0	0	0	0	4	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	4	23
assemblage-173-741	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	21	0	0	0	0	0	24
assemblage-491-497	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	21
assemblage-269-411	0	0	0	0	0	3	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	8	14
assemblage-154-804	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	12
assemblage-477-540	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	60	0	0	0	50	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	30
