Seriation_Number	Assemblage	862211-1729800-1742992	0-14812-8255003	2-1-5446902	2-2531265-3122656	4891257-6235494-1	2-5576476-7385550	4-9455244-2	4303260-14812-1	2-3105947-7385550	3196169-1-7385550	4891257-14812-4532120	161948-1-7385550	2-1-9727676	2475771-5223666-7385550	2-1-0	2-1-5825054	2-1-9407406	3196169-1-6304792	2-1-2815891	5510931-5223666-7385550	0-1-0	2857759-767242-502771	862211-5223666-1742992	8215964-5223666-1742992	2-7113728-7385550	2-7534518-502771	3515182-14812-1	4891257-5549827-4532120	862211-5223666-7385550	2-767242-502771	1-2-1	2-1-7385550	1625107-1-7385550	4891257-6235494-5443817	332280-2-1	4891257-6235494-1839160	0-14812-1	332280-3154212-1300176	0-210606-0	8138686-2-1	0-1859523-1	4552811-594918-502771	0-3-1	2-2-0	5514943-594918-502771	862211-1-7385550	332280-4770691-1300176	2-2185357-7385550	0-2-4	2-3682254-7385550	3196169-2160320-6304792	332280-2-1300176	4-2-2	862211-8891933-7385550	7940317-1-7385550	2485473-5223666-1742992	2-1-7374064	1403749-1-0	7658810-1-7385550	332280-2715622-1300176	2-4152366-0	2-2899381-5825054	4891257-7955277-1	4891257-6235494-8354785	6190920-5223666-7385550	2-1-2100236	6804377-5223666-7385550	4552811-9218591-502771	2-1-5525248	2-1-6259065	2-6341349-0	4891257-14812-1	4891257-2402177-1	2-69253-0	2-594918-502771	2-5894104-7385550
1	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
1	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15
1	assemblage-477-531	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	51	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	11

2	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
2	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
2	assemblage-477-531	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	51	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	11

3	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
3	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
3	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15

4	assemblage-362-519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	41	0	0	110	12	0	0	0	0	0	0	0	0	0	0	0	5	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	34	15
4	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15
4	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23

5	assemblage-362-519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	41	0	0	110	12	0	0	0	0	0	0	0	0	0	0	0	5	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	34	15
5	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
5	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23

6	assemblage-507-342	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
6	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
6	assemblage-619-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	16

7	assemblage-507-342	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
7	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
7	assemblage-619-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	16

8	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
8	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15
8	assemblage-477-531	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	51	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	11

9	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
9	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
9	assemblage-477-531	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	51	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	11

10	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
10	assemblage-261-408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	4	0	0	0	0	0	35	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	15
10	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15

11	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
11	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
11	assemblage-619-223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	16

12	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
12	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
12	assemblage-477-531	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	51	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	11

13	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
13	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
13	assemblage-360-511	0	0	0	0	0	33	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	15

14	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
14	assemblage-708-786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	13	0	0	0	0	0	154	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
14	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	17	0	0	9

15	assemblage-262-403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15
15	assemblage-362-519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	41	0	0	110	12	0	0	0	0	0	0	0	0	0	0	0	5	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	34	15
