Seriation_Number	Assemblage	3-4009459-1	4649217-0-4	2525058-1965024-1	3-5886379-1	3-3779629-1	1-0-8812237	1-3702868-4	3-4-4695779	0-0-9478013	7884736-5886379-7967991	1-9689118-1183762	4790137-0-4	3-1965024-5523404	4555093-0-4	263496-0-4	4061623-1965024-1	7034900-1965024-9539362	2-3-1248798	1-0-1183762	2-1-2	263496-8201525-4	2264586-1965024-2045879	6117650-4686179-4	7895273-0-0	3-3-3	1-5014482-4	3-5806819-1859733	8163774-0-4	3-141225-1	3-4-1859733	0-8269521-2732221	5382826-5886379-1	1-1025247-4	0-0-322837	1-0-7204396	0-0-0	0-0-2732221	1-4686179-4	1593049-1965024-1	9543981-4686179-4	8245200-3-3	0-7623533-3975943	0-0-6047692	4-3-0	1-8349349-4	4887857-1965024-1	2-3-3	1-0-6963230	402585-7992288-4	0-0-3975943	9954578-0-7881402	0-8058647-0	1656736-1965024-1	535194-8727935-3	3-1965024-1	3984865-1965024-1	3-9243455-1	7307488-3-3	3784413-4686179-4	3-4-1	263496-0-9439949	1-0-4	3-2606372-1	3-5507956-1	7884736-5886379-1	0-0-8807048	0-3593673-3975943	3-1965024-6758537	535194-3-3	1-0-7959299	0-5574149-0	9954578-0-4	3-2010466-1859733	5591839-1965024-1	2264586-1965024-1	3-9781031-1	1-4686179-7031349	0-217076-3975943	7688078-3-3	6494759-1965024-1	2-3-8196914	1-453617-4	402585-0-4	0-9886805-0	263496-2916803-4
5	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

6	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
6	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9
6	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	355	0	18	0	0	0	0	73	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22

7	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
7	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9
7	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

8	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
8	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9
8	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

9	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
9	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
9	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	355	0	18	0	0	0	0	73	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22

10	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
10	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
10	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

11	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
11	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
11	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

12	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
12	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
12	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9

13	assemblage-747-968	8	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	26	0	0	0	0	84	73	0	0	22	0	0	9	0	197	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
13	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
13	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

14	assemblage-747-968	8	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	26	0	0	0	0	84	73	0	0	22	0	0	9	0	197	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
14	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
14	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

15	assemblage-680-956	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	15	4	0	108	0	0	0	0	0	0	0	65	0	0	0	0	0	0	118	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	46
15	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9
15	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

16	assemblage-680-956	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	15	4	0	108	0	0	0	0	0	0	0	65	0	0	0	0	0	0	118	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	46
16	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
16	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

17	assemblage-680-956	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	15	4	0	108	0	0	0	0	0	0	0	65	0	0	0	0	0	0	118	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	46
17	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
17	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

18	assemblage-680-956	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	15	4	0	108	0	0	0	0	0	0	0	65	0	0	0	0	0	0	118	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	46
18	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
18	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

19	assemblage-680-956	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	15	4	0	108	0	0	0	0	0	0	0	65	0	0	0	0	0	0	118	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	46
19	assemblage-747-968	8	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	26	0	0	0	0	84	73	0	0	22	0	0	9	0	197	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
19	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

20	assemblage-367-832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23
20	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
20	assemblage-437-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	106	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23

21	assemblage-367-832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23
21	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
21	assemblage-631-942	0	0	0	169	8	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

22	assemblage-367-832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23
22	assemblage-907-636	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	39	0	0	0	0	0	0	0	0	0	94	0	0	11	0	0	0	0	0	17	0	0	15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
22	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9

23	assemblage-367-832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	23
23	assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	8
23	assemblage-672-983	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	15	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	0	0	0	0	9

