Assemblage_Name	8035166-0-6639170	1306130-7454357-4108481	9594761-9171204-4847937	1-4-7417043	1306130-7317405-6639170	1893570-4-3	1306130-0-4108481	2-2029938-4847937	6794176-3-0	1306130-0-6639170	1306130-4572966-6639170	1306130-8345968-6639170	2738089-0-6639170	1-5247990-3	4699512-4-3	2-9171204-4847937	3528123-9171204-4847937	6952863-2-2	8052561-2-2	6759033-7958332-6639170	2-2-2	5378010-2-2	1306130-0-4	1-6127962-3	1306130-7958332-6639170	5498064-7958332-6639170	6463333-4-3	2-0-1027265	1-4-7395656	0-2-3	2-0-4087824	1384278-0-4087824	2-7080256-4847937	4727296-2-2	5575027-4-3	7022250-0-4087824	1213364-4-1281391	5575027-7356168-1464066	1306130-7958332-7736138	2-0-4	6565426-0-0	1-4-8412368	2-2-5846077	8310362-0-4087824	876699-4-3	8339568-2-4847937	1571801-0-4108481	4112427-0-6639170	1893570-120223-3	2-0-0	1-4-3	5575027-8545070-1464066	5575027-4-1464066	2-4320813-4847937	1138831-4-1281391	8126733-2-4847937	5575027-4-8662610	1934295-2-4847937	4616297-2-4847937	5575027-4-1281391	2-2-4847937	9656904-2-4847937	1-9403729-3	1-4-9589549	6042860-2-4847937	1306130-8838691-6639170
assemblage-635-293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	433	14	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-653-972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	7
assemblage-765-611	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-393-831	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	4	0	0	142	40	0	0	0	11
assemblage-579-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	51	0	0	12	0	0	0	0	92	0	0	0	0	16
assemblage-604-126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	10	0	0	0	0	0	0	0	90	0	0	0	0	20
assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	8	416	0	0	0	0	0	0	31	22	0	0	0	0	10
assemblage-762-609	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-593-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	6	11	0	0	0	11
assemblage-836-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	37	8	0	0	0	0	11
assemblage-699-477	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	0	0	0	0	421	0	0	0	0	0
assemblage-990-203	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	51	10	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	1
