Assemblage_Name	2829924-5638666-8552235	6174595-8474862-7059535	9709701-4898927-0	6033792-4-0	2829924-2027289-8212023	2829924-4898927-2827509	2829924-4-632914	953707-3-7059535	7789152-1792622-8212023	2829924-8670246-0	2829924-4843449-1260732	3-3-1	9764672-3-4315828	2829924-4843449-8572499	3486780-3-1	2829924-7138304-5635401	2140655-7138304-0	2829924-9899080-0	2829924-4558134-1106108	2829924-4-6635900	1-3-6459402	2829924-4843449-4427725	3-3-5622419	2829924-1792622-747576	2829924-1792622-9322925	2829924-1792622-8212023	5413932-5920364-6645092	2829924-4558134-8535261	5413932-4558134-6645092	6174595-3-988906	2829924-1451480-8212023	2829924-9938032-0	2829924-5638666-8212023	6174595-3-7059535	4-3275914-0	9764672-3-5082621	5413932-5071319-6645092	2829924-3847017-9322925	2829924-4-2614047	8977212-2130522-0	2829924-4-0	2-3210945-4	2829924-7138304-0	2829924-4000854-0	6721070-1792622-8212023	2829924-4158816-0	8977212-4841435-2538762	2829924-5709567-0	1-3-2	2829924-4898927-9931035	2-3-5082621	2-4-3	2829924-5865773-0	6174595-3-7714337	1211925-4-0	3-3-7059535	2829924-4558134-7795976	4-6542008-0	2829924-7138304-8388294	8977212-4841435-0	2829924-1792622-0	2829924-4-9880422	2829924-4558134-2614047	2829924-5512040-1106108	2829924-1330674-2614047	2-2405932-4	5413932-280765-6645092	4738137-0-0	1354648-4558134-2614047	2829924-4-4740207	2-3-4	2829924-4898927-0	1-4-3	443714-4558134-2614047	8977212-3-0	4-3-0	8977212-4841435-3993017	108327-2873608-7059535	2829924-6837436-0	108327-3-7059535	2829924-4843449-0	2509364-1792622-8212023	8589994-4558134-2614047	9764672-3-8548510	2829924-7488799-2614047	2829924-4558134-6645092	8977212-4412649-0
assemblage-776-918	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	143	0	0	0	0	0	0	13
assemblage-604-126	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	26
assemblage-694-487	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	52	0	0	312	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	23
assemblage-701-469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	23	0	0	0	12	0	0	0	0	56	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	236	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-379-112	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	14
assemblage-302-697	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	289	0	0	0	0	15	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-293-730	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7
assemblage-962-541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	10
assemblage-724-779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	8	0	0	12
assemblage-647-971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	0	0	13
