Seriation_Number	Assemblage	8747428-3-1	5817790-5514301-9885816	3-3-1642721	3-7661413-1	5817790-5514301-3155459	4812328-4911238-1201087	412298-1389117-7348078	1202764-1-7348078	412298-6024320-7348078	3701711-3797726-7472059	3750475-1545863-2	4020137-1-6611426	412298-1-1863776	3750475-1-7348078	3-4887293-1	7674605-1-7348078	3-2-2	3-3-6833937	6527948-1-7348078	3-3-1	3-3-3	4812328-3-6931415	412298-8001689-7348078	0-1-2	4812328-3-1642721	4750371-1-7348078	3-5514301-9885816	5325197-960067-6611426	808903-5514301-9885816	5109645-1-7348078	3701711-3-7472059	4750371-9626936-6611426	6400441-1-7348078	3750475-1-2	2-4-3	3750475-1-3805113	3-7867265-1	3-5514301-2041369	5817790-8245660-3155459	4812328-3-5249940	4110975-7554510-6611426	3750475-4162886-7348078	1-3407854-4	4812328-3-1201087	412298-1-7348078	7331916-3-1642721	4812328-3-99355	4750371-9626936-2449238	5898407-9626936-6611426	4812328-9514273-1201087	7674605-1-1139042	0-3620350-2	412298-1-2957559	1-4-4	4750371-9626936-4432969	5109645-4787791-7348078	412298-1-8002703	5325197-1-6611426	3423956-3-1201087	4750371-1-6611426	5325197-7554510-6611426	4067697-3-1201087	412298-2874353-7348078	412298-7080700-7348078	1123723-1-6611426	6019964-3-1
11	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
11	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
11	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

12	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
12	assemblage-462-648	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	137	0	0	0	0	0	0	0	0	0	9	27	0	23	0	0	0	0	0	22
12	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

13	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
13	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
13	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

14	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
14	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
14	assemblage-462-648	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	137	0	0	0	0	0	0	0	0	0	9	27	0	23	0	0	0	0	0	22

15	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
15	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
15	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

16	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
16	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
16	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

17	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
17	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
17	assemblage-462-648	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	137	0	0	0	0	0	0	0	0	0	9	27	0	23	0	0	0	0	0	22

18	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
18	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
18	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

19	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
19	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
19	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39

20	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
20	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
20	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

21	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
21	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
21	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

22	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
22	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
22	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16

23	assemblage-786-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17
23	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
23	assemblage-792-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	10	341	0	0	0	0	9

24	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
24	assemblage-462-648	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	137	0	0	0	0	0	0	0	0	0	9	27	0	23	0	0	0	0	0	22
24	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

25	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
25	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
25	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

26	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
26	assemblage-963-275	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	267	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	39
26	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

27	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
27	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
27	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

28	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
28	assemblage-262-339	0	0	0	0	0	0	0	0	17	0	0	0	9	0	0	52	0	0	0	0	0	0	0	0	5	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	7	0	16
28	assemblage-487-919	0	0	0	0	0	0	0	0	0	0	7	0	0	83	0	0	0	0	0	39	0	0	0	0	0	0	28	0	0	0	0	0	0	180	66	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	14

29	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
29	assemblage-767-764	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	154	0	0	0	0	19
29	assemblage-206-609	0	11	0	0	0	0	0	0	0	0	0	25	0	0	20	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	16

30	assemblage-565-984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	277	0	0	55	0	0	0	0	18
