Assemblage_Name	3-4121652-2	9427460-3-2	3-3420243-2	3-3-2741486	6233813-3-2	3-3-7062874	7553633-3-2	3-3-6747473	3-4652756-2	4-4-1	3-772725-1	2401245-3-2	3-3-7119134	3-0-4	3-0-1	2-7872677-3	5979597-0-1	3-3-2	3-0-8304684	7674724-3-2	3-3-3573730	8086175-3-2	4717107-3-2	3-0-8802440	3-1462111-2	3-3-5806829	3-4628369-2	8981618-3-2
assemblage-51-43	0	0	0	0	0	0	0	0	0	595	0	0	0	1	626	554	13	533	0	0	0	0	0	0	0	0	0	0
assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0
assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	379	0	0	0	0	0	0	0	0	0	0
assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0
assemblage-37-57	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	69454	0	0	0	1	0	0	3	2	0	0
assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0
assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
