Seriation_Number	Assemblage	8677193-0-2035573	4-3-8445706	1-2-5219430	1069394-1-8946562	1069394-1361493-0	0-0-2464660	4964272-9667670-0	4-2-1	8069266-3-1	5421441-3641856-2035573	1069394-2054587-0	9185240-0-2426045	4-6747150-1	3-1-0	4964272-8785362-0	1948217-2-1	1069394-1-9542299	1613540-0-2035573	9719597-4741113-0	2369800-1948675-2583772	0-5672387-2035573	5421441-0-2035573	2-1-2	3-1-8129347	4-3-7069680	7349978-0-8483066	6134959-1-0	1-1-3	0-0-2035573	0-2022262-2035573	9950078-1-0	3932621-1-0	4197677-0-2426045	1069394-1-0	2614014-236200-798483	9719597-1-0	2369800-1948675-1	6728917-0-2035573	0-4376688-2035573	0-8081326-653139	1069394-1-798483	0-0-2324358	5421441-0-8483066	1069394-972024-0	2369800-8718605-1	9185240-0-8993147	1069394-5953784-0	0-8081326-5172240	1-2-2	0-0-6937357	1301221-1948675-1	1069394-1-6073544	3306219-1-0	2369800-3-1	1069394-1-7177399	9213184-0-2798509	9213184-3620051-2426045	0-4877384-2035573	9270432-1-798483	382749-0-2426045	862253-0-2035573	3-2147871-0	1069394-1-8222314	4964272-1-0	9213184-0-2426045	4964272-9667670-3345804	9580557-3-1	5931226-2-2	0-5672387-7355917	0-2495394-2035573	2614014-1-798483	2369800-3-5159429	1131405-3-1	4-3-8743789	0-0-2426045	4-3-1	1069394-8569491-0	2130858-1-0	9605394-1-0	2369800-1948675-5887784	3692745-0-2035573	0-8289548-2035573
1	assemblage-541-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	7	0	0	0	0	0	0	0	246	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1	assemblage-593-138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	8	0	0	0	0	0	0	0	256	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
1	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

2	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
2	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
2	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

3	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
3	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
3	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

4	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
4	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
4	assemblage-593-138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	8	0	0	0	0	0	0	0	256	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9

5	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
5	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
5	assemblage-541-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	7	0	0	0	0	0	0	0	246	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5

6	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
6	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17
6	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

7	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
