Seriation_Number	Assemblage	8639351-4-4	733770-4-2	0-0-2	3-2677409-2	5119683-4-2	3-7596707-2	3-4-1403441	3-4-2	3-7779774-2	2-1-4	4-4-4	3-3983074-2	4-4-0	3-8671927-2	3-4507280-2	3295939-0-2	9543264-4-2	2-2-0	1176652-4-2	3-4-9589649	3288350-4-2	3-4-6650077	4-4-6784101	3-8421824-2	2-2522762-4
17	assemblage-67-29	0	0	64	0	0	0	0	13	0	0	1547	0	1084	0	0	0	0	0	0	0	0	0	1	0	0
17	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
17	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

18	assemblage-67-29	0	0	64	0	0	0	0	13	0	0	1547	0	1084	0	0	0	0	0	0	0	0	0	1	0	0
18	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
18	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

19	assemblage-67-29	0	0	64	0	0	0	0	13	0	0	1547	0	1084	0	0	0	0	0	0	0	0	0	1	0	0
19	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
19	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

20	assemblage-67-29	0	0	64	0	0	0	0	13	0	0	1547	0	1084	0	0	0	0	0	0	0	0	0	1	0	0
20	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
20	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0

21	assemblage-51-43	0	0	470	0	0	0	0	682	0	225	516	0	676	0	0	0	0	6	0	0	0	0	134	0	0
