Assemblage_Name	2-4-8112803	2-4-7516032	4169807-4-4013108	2-4-9162416	3-9130299-559509	864591-4-8112803	2-4-4833761	4794692-2-7288279	3-1-2	1-2-8853957	5139557-4-8112803	4169807-4-6195636	2-4993093-4	5338644-8395206-3	2-4-4757872	3-2036299-8452006	8245701-4-4	113227-4-2965627	2-4-7985033	2-879877-3	5338644-608597-3	2-879877-2833323	3-1-1150511	3-3529944-3190853	2-4-2461446	3-1-559509	2098065-4-4	2-4-1930434	2-4-9243589	3-1-8452006	2-4-3490150	9256005-2-7288279	2-3939456-4	2-4-2834600	3-1-3190853	2-9916408-3	8194692-4-3	2-4-9266971	2-4611750-1930434	1-2-7288279	2213401-4-8112803	5338644-4-3	2-4341541-4	9639167-4-8112803	2-3090992-8112803	616934-4-3	2-9571907-4	2-4-5372117	2-6644218-1852666	2-4-1852666	2-4-3629118	2-4-3390589	2-981806-1930434	9186963-4-4	9095114-4-4	2-4-6049726	4576752-4-3	2-4-8127969	2-4-2933124	7973757-4-9632105	2-4-9632105	2-4-294741	2-8961688-8112803	8039426-4-8112803	2-4-2493723	2-4-2355352	4169807-4-8112803	2-981806-4998906	2828036-4-4	6439412-4-8112803	2-4-4743747	6451485-4-1930434	691958-1-2	3-5587528-2	4-0-4	2-4-2965627	5859772-4-8112803	2-4-3	2-4-2	2-4-4	3-1-7659936	2-1326495-1930434	3-1-8456886	2-1937357-3	9812969-4-4	9434043-4-8112803	2-4-2454362	6399861-4-4	2-4-6036607
assemblage-582-927	131	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	35	0	132	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	14
assemblage-685-371	77	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	23	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	9	0	0	0	0	0	0	13	9	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	18
assemblage-934-958	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	44	0	98	0	0	0	0	0	0	0	0	28
assemblage-255-408	0	0	0	0	0	0	5	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	121	0	0	0	0	0	0	0	0	15
assemblage-916-864	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	18
assemblage-362-519	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	15	0	0	0	0	14
assemblage-971-160	0	0	0	0	0	0	6	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	118	0	0	0	0	0	0	0	0	16
assemblage-695-371	88	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	24	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	11	0	0	0	0	0	0	12	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	10
assemblage-357-491	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	47
assemblage-628-204	0	0	0	0	0	0	12	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	101	0	0	0	0	0	0	0	0	10
