Assemblage_Name	3-2-3858883	0-305872-951587	1800377-3410658-4	8622094-8475166-3	0-5251318-4	2-2-2	8622094-2815897-3	2707832-2-3	0-305872-4	2-2310712-2	1204093-2815897-3	7099722-2-3	8622094-4567388-3	0-4185769-817100	0-1-0	8622094-2815897-621169	8622094-2815897-2608281	3-2-7188031	0-4235160-4	8622094-2815897-9898155	8622094-2815897-99985	8622094-8021073-7019290	2240196-2-2	8622094-2815897-4943717	0-7640468-4	0-305872-817100	8622094-4567388-9172116	2681634-2-3	1837482-4-2	4426408-305872-4	0-2-4	8622094-8280394-3	8622094-2815897-1453058	8622094-3249881-1504011	0-3410658-4	8622094-134431-3	7112191-4567388-2711364	8622094-7987058-3	8622094-2-3	3888004-305872-951587	2-4-2	134173-4567388-3	8622094-2815897-7019290	8622094-1890860-1504011	8622094-2-1504011	4-2-3909955	3-4362014-3	4-2-2	8622094-4937094-3	8622094-2-3058758	7112191-4567388-3	8622094-2815897-9077004	8622094-2815897-6884201	2-1-0	4-2-3920493	2-2-6366256	6612830-2-3	2-8242435-1	3-2-3	5150775-2-3	0-2-1	3-2-9816247	3-2-7499204	8622094-3563134-3058758
assemblage-360-511	0	8	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17
assemblage-492-530	0	0	0	0	0	0	258	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11
assemblage-491-351	0	166	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	26	10
assemblage-173-741	0	0	0	0	0	0	250	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	37	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15
assemblage-481-361	8	0	0	0	0	0	14	0	210	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	8	64	6
assemblage-913-562	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-788-130	0	40	0	0	0	0	257	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19
assemblage-267-419	0	41	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	17
assemblage-628-204	0	0	0	0	17	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	297	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	142	7	0	0	0	3
assemblage-962-919	0	47	0	0	0	0	273	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6
assemblage-570-928	0	0	0	0	0	0	7	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	11
assemblage-371-515	0	39	0	0	0	0	268	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6
assemblage-685-371	0	18	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	43	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15
assemblage-861-255	0	0	0	0	0	0	271	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	6
assemblage-360-495	0	8	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	24
assemblage-782-144	0	14	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	16
