Seriation_Number	Assemblage	1-1-2	2433059-4-2418632	3-6188192-4416115	3-4-8383301	1703949-5847793-4416115	7449410-3-0	1-2-3	3-4-8848539	1-4141086-0	6201718-4-9229529	0-4-1	3-5847793-3753848	1-7281904-0	2863215-3-0	0-1721594-1	7781847-4-4416115	3-4-2358144	3-4-2402337	1077400-6016685-2	8020122-3-0	1077400-1-2025709	6201718-4-3241864	3-3577231-3	1-1-4715217	7783255-3-0	6201718-4-5895882	5143408-3-0	805359-5847793-4416115	3-4-4416115	1077400-1-2	3-4-878621	472478-1-2	1-3-0	3-4-9591090	1-9054126-0	6455106-5847793-4416115	3-2-5526215	1-7302391-0	1-9921466-0	3-1530622-4416115	3-7593944-4416115	1227118-2-3	0-3-1	8289029-4-4416115	3-4-3466380	1025514-2-8483902	3-5847793-4416115	6201718-4-6536003	3-4-4	6201718-4-6887274	3-2986217-4416115	6201718-4-2418632	3-4-9229529	3-2-3	3-2-8483902	3945929-4-4416115	3239802-2986217-4416115	1-3080710-0	1-3-1028357	3-6238744-4416115
1	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
1	assemblage-903-635	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11
1	assemblage-753-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	126	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14

2	assemblage-653-972	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	5	0	6
2	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
2	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8

3	assemblage-653-972	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	5	0	6
3	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
3	assemblage-694-487	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	19	0	0	0	0	9

4	assemblage-694-460	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	14	0	0	0	0	17
4	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
4	assemblage-903-635	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11

5	assemblage-593-138	0	0	0	0	0	9	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	10
5	assemblage-694-487	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	19	0	0	0	0	9
5	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8

6	assemblage-593-138	0	0	0	0	0	9	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	10
6	assemblage-694-460	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	14	0	0	0	0	17
6	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8

7	assemblage-593-138	0	0	0	0	0	9	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	10
7	assemblage-694-460	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	14	0	0	0	0	17
7	assemblage-694-487	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	19	0	0	0	0	9

8	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
8	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8
8	assemblage-753-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	126	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14

9	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
9	assemblage-903-635	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11
9	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8

10	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
10	assemblage-903-635	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11
10	assemblage-694-487	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	19	0	0	0	0	9

11	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
11	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
11	assemblage-753-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	126	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14

12	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
12	assemblage-579-127	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	38	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0	135	0	0	0	0	0	0	10
12	assemblage-375-821	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	19	0	0	0	0	8

13	assemblage-660-956	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	448	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
