Assemblage_Name	8677193-0-2035573	4-3-8445706	1-2-5219430	1069394-1-8946562	1069394-1361493-0	0-0-2464660	4964272-9667670-0	4-2-1	8069266-3-1	5421441-3641856-2035573	1069394-2054587-0	9185240-0-2426045	4-6747150-1	3-1-0	4964272-8785362-0	1948217-2-1	1069394-1-9542299	1613540-0-2035573	9719597-4741113-0	2369800-1948675-2583772	0-5672387-2035573	5421441-0-2035573	2-1-2	3-1-8129347	4-3-7069680	7349978-0-8483066	6134959-1-0	1-1-3	0-0-2035573	0-2022262-2035573	9950078-1-0	3932621-1-0	4197677-0-2426045	1069394-1-0	2614014-236200-798483	9719597-1-0	2369800-1948675-1	6728917-0-2035573	0-4376688-2035573	0-8081326-653139	1069394-1-798483	0-0-2324358	5421441-0-8483066	1069394-972024-0	2369800-8718605-1	9185240-0-8993147	1069394-5953784-0	0-8081326-5172240	1-2-2	0-0-6937357	1301221-1948675-1	1069394-1-6073544	3306219-1-0	2369800-3-1	1069394-1-7177399	9213184-0-2798509	9213184-3620051-2426045	0-4877384-2035573	9270432-1-798483	382749-0-2426045	862253-0-2035573	3-2147871-0	1069394-1-8222314	4964272-1-0	9213184-0-2426045	4964272-9667670-3345804	9580557-3-1	5931226-2-2	0-5672387-7355917	0-2495394-2035573	2614014-1-798483	2369800-3-5159429	1131405-3-1	4-3-8743789	0-0-2426045	4-3-1	1069394-8569491-0	2130858-1-0	9605394-1-0	2369800-1948675-5887784	3692745-0-2035573	0-8289548-2035573
assemblage-663-968	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	27	0	14	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-832-789	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-549-432	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	4	0	0	8	203	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9
assemblage-637-948	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	22	0	16	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-653-972	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-750-626	0	0	0	0	0	0	0	257	0	0	0	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-834-809	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-639-332	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-749-590	0	0	0	0	0	0	0	237	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-788-907	0	0	0	0	0	0	0	0	28	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
